1080 481 321
480 0 81 81
480 1 81 81
84 2 74 74
85 2 74 74
479 2 81 81
480 2 81 81
480 3 81 81
419 4 96 96
420 4 96 96
423 4 96 96
480 4 81 81
416 5 96 96
419 5 96 96
420 5 96 96
423 5 96 96
480 5 81 81
415 6 96 96
416 6 96 96
419 6 96 96
420 6 96 96
423 6 96 96
480 6 81 81
415 7 96 96
416 7 96 96
419 7 96 96
420 7 96 96
423 7 96 96
480 7 81 81
52 8 43 43
53 8 43 43
413 8 96 96
414 8 96 96
415 8 96 96
416 8 96 96
417 8 96 96
418 8 96 96
419 8 96 96
420 8 96 96
421 8 96 96
422 8 96 96
423 8 96 96
480 8 81 81
52 9 43 43
412 9 96 96
413 9 96 96
414 9 96 96
415 9 96 96
416 9 96 96
417 9 96 96
418 9 96 96
419 9 96 96
420 9 96 96
421 9 96 96
422 9 96 96
423 9 96 96
480 9 81 81
411 10 96 96
412 10 96 96
413 10 96 96
414 10 96 96
416 10 96 96
417 10 96 96
418 10 96 96
419 10 96 96
480 10 81 81
411 11 96 96
413 11 96 96
414 11 96 96
416 11 96 96
417 11 96 96
418 11 96 96
479 11 81 81
480 11 81 81
126 12 33 33
127 12 33 33
128 12 33 33
129 12 33 33
411 12 96 96
413 12 96 96
414 12 96 96
416 12 96 96
417 12 96 96
418 12 96 96
480 12 81 81
251 13 62 62
252 13 62 62
253 13 62 62
409 13 96 96
411 13 96 96
413 13 96 96
415 13 96 96
416 13 96 96
417 13 96 96
418 13 96 96
419 13 96 96
422 13 96 96
423 13 96 96
461 13 9 9
462 13 9 9
480 13 81 81
408 14 96 96
409 14 96 96
410 14 96 96
411 14 96 96
412 14 96 96
413 14 96 96
414 14 96 96
415 14 96 96
416 14 96 96
417 14 96 96
418 14 96 96
419 14 96 96
420 14 96 96
421 14 96 96
422 14 96 96
423 14 96 96
424 14 96 96
480 14 81 81
17 15 90 90
18 15 90 90
409 15 96 96
410 15 96 96
411 15 96 96
412 15 96 96
416 15 96 96
417 15 96 96
418 15 96 96
419 15 96 96
420 15 96 96
421 15 96 96
424 15 96 96
480 15 81 81
17 16 90 90
410 16 96 96
411 16 96 96
417 16 96 96
418 16 96 96
420 16 96 96
421 16 96 96
422 16 96 96
423 16 96 96
480 16 81 81
17 17 90 90
416 17 96 96
417 17 96 96
418 17 96 96
419 17 96 96
420 17 96 96
480 17 81 81
370 18 58 58
371 18 58 58
417 18 96 96
418 18 96 96
480 18 81 81
371 19 58 58
416 19 96 96
417 19 96 96
418 19 96 96
419 19 96 96
420 19 96 96
421 19 96 96
422 19 96 96
423 19 96 96
458 19 22 22
459 19 22 22
480 19 81 81
417 20 96 96
418 20 96 96
422 20 96 96
459 20 22 22
479 20 81 81
480 20 81 81
422 21 96 96
480 21 81 81
480 22 81 81
204 23 42 42
205 23 42 42
480 23 81 81
480 24 81 81
480 25 81 81
270 26 8 8
271 26 8 8
479 26 81 81
480 26 81 81
480 27 81 81
480 28 81 81
462 29 6 6
480 29 81 81
6 30 47 47
297 30 88 88
462 30 6 6
480 30 81 81
6 31 47 47
296 31 88 88
297 31 88 88
480 31 81 81
6 32 47 47
296 32 88 88
480 32 81 81
6 33 47 47
480 33 81 81
480 34 81 81
479 35 81 81
480 35 81 81
479 36 81 81
480 36 81 81
480 37 81 81
480 38 81 81
66 39 35 35
67 39 35 35
480 39 81 81
46 40 66 66
47 40 66 66
480 40 81 81
480 41 81 81
449 42 48 48
480 42 81 81
448 43 48 48
449 43 48 48
480 43 81 81
480 44 81 81
480 45 81 81
479 46 81 81
480 46 81 81
480 47 81 81
480 48 81 81
362 49 87 87
480 49 81 81
361 50 87 87
362 50 87 87
480 50 81 81
468 51 16 16
480 51 81 81
468 52 16 16
469 52 16 16
480 52 81 81
480 53 81 81
480 54 81 81
480 55 81 81
480 56 81 81
205 57 73 73
480 57 81 81
203 58 73 73
204 58 73 73
205 58 73 73
480 58 81 81
202 59 73 73
203 59 73 73
204 59 73 73
205 59 73 73
206 59 73 73
480 59 81 81
201 60 73 73
202 60 73 73
458 60 44 44
459 60 44 44
480 60 81 81
200 61 73 73
201 61 73 73
480 61 81 81
480 62 81 81
480 63 81 81
480 64 81 81
480 65 81 81
480 66 81 81
413 67 14 14
414 67 14 14
480 67 81 81
12 68 83 83
480 68 81 81
12 69 83 83
480 69 81 81
283 70 65 65
480 70 81 81
283 71 65 65
284 71 65 65
480 71 81 81
459 72 13 13
480 72 81 81
459 73 13 13
480 73 81 81
480 74 81 81
480 75 81 81
480 76 81 81
411 77 49 49
479 77 81 81
480 77 81 81
290 78 78 78
411 78 49 49
480 78 81 81
290 79 78 78
480 79 81 81
480 80 81 81
480 81 81 81
439 82 28 28
440 82 28 28
480 82 81 81
480 83 81 81
480 84 81 81
480 85 81 81
480 86 81 81
480 87 81 81
480 88 81 81
402 89 29 29
403 89 29 29
480 89 81 81
355 90 40 40
356 90 40 40
357 90 40 40
480 90 81 81
480 91 81 81
480 92 81 81
480 93 81 81
480 94 81 81
241 95 93 93
242 95 93 93
450 95 12 12
451 95 12 12
453 95 12 12
480 95 81 81
451 96 12 12
452 96 12 12
453 96 12 12
480 96 81 81
480 97 81 81
480 98 81 81
480 99 81 81
480 100 81 81
397 101 21 21
480 101 81 81
396 102 21 21
397 102 21 21
480 102 81 81
397 103 21 21
455 103 36 36
480 103 81 81
455 104 36 36
480 104 81 81
66 105 98 98
67 105 98 98
480 105 81 81
65 106 98 98
66 106 98 98
69 106 98 98
480 106 81 81
62 107 98 98
63 107 98 98
64 107 98 98
65 107 98 98
66 107 98 98
67 107 98 98
68 107 98 98
69 107 98 98
70 107 98 98
71 107 98 98
479 107 81 81
480 107 81 81
63 108 98 98
65 108 98 98
66 108 98 98
70 108 98 98
480 108 81 81
3 109 46 46
62 109 98 98
63 109 98 98
65 109 98 98
220 109 53 53
479 109 81 81
480 109 81 81
2 110 46 46
3 110 46 46
61 110 98 98
62 110 98 98
65 110 98 98
66 110 98 98
67 110 98 98
219 110 53 53
220 110 53 53
396 110 0 0
397 110 0 0
479 110 81 81
480 110 81 81
1 111 46 46
2 111 46 46
61 111 98 98
62 111 98 98
397 111 0 0
480 111 81 81
2 112 46 46
61 112 98 98
62 112 98 98
480 112 81 81
479 113 81 81
480 113 81 81
480 114 81 81
480 115 81 81
479 116 81 81
480 116 81 81
430 117 17 17
468 117 4 4
469 117 4 4
480 117 81 81
430 118 17 17
480 118 81 81
430 119 17 17
480 119 81 81
479 120 81 81
480 120 81 81
480 121 81 81
480 122 81 81
480 123 81 81
480 124 81 81
457 125 24 24
458 125 24 24
480 125 81 81
480 126 81 81
480 127 81 81
480 128 81 81
480 129 81 81
480 130 81 81
480 131 81 81
255 132 54 54
479 132 81 81
480 132 81 81
255 133 54 54
480 133 81 81
480 134 81 81
480 135 81 81
480 136 81 81
480 137 81 81
351 138 15 15
352 138 15 15
480 138 81 81
352 139 15 15
398 139 27 27
456 139 11 11
457 139 11 11
480 139 81 81
397 140 27 27
398 140 27 27
457 140 11 11
480 140 81 81
480 141 81 81
480 142 81 81
480 143 81 81
480 144 81 81
480 145 81 81
480 146 81 81
480 147 81 81
480 148 81 81
480 149 81 81
480 150 81 81
325 151 20 20
326 151 20 20
463 151 25 25
464 151 25 25
480 151 81 81
480 152 81 81
480 153 81 81
480 154 81 81
394 155 64 64
480 155 81 81
250 156 68 68
394 156 64 64
480 156 81 81
250 157 68 68
480 157 81 81
480 158 81 81
480 159 81 81
178 160 72 72
179 160 72 72
480 160 81 81
178 161 72 72
179 161 72 72
431 161 1 1
432 161 1 1
433 161 1 1
480 161 81 81
179 162 72 72
180 162 72 72
181 162 72 72
433 162 1 1
479 162 81 81
480 162 81 81
181 163 72 72
480 163 81 81
388 164 10 10
480 164 81 81
388 165 10 10
479 165 81 81
480 165 81 81
480 166 81 81
480 167 81 81
480 168 81 81
480 169 81 81
480 170 81 81
32 171 19 19
33 171 19 19
34 171 19 19
35 171 19 19
480 171 81 81
34 172 19 19
443 172 57 57
480 172 81 81
105 173 80 80
106 173 80 80
201 173 59 59
443 173 57 57
480 173 81 81
200 174 59 59
201 174 59 59
480 174 81 81
480 175 81 81
313 176 89 89
480 176 81 81
313 177 89 89
406 177 77 77
407 177 77 77
480 177 81 81
313 178 89 89
480 178 81 81
455 179 23 23
456 179 23 23
457 179 23 23
480 179 81 81
457 180 23 23
480 180 81 81
391 181 3 3
480 181 81 81
391 182 3 3
480 182 81 81
390 183 3 3
391 183 3 3
480 183 81 81
480 184 81 81
480 185 81 81
480 186 81 81
480 187 81 81
46 188 38 38
47 188 38 38
48 188 38 38
49 188 38 38
439 188 67 67
480 188 81 81
49 189 38 38
439 189 67 67
440 189 67 67
480 189 81 81
336 190 69 69
337 190 69 69
440 190 67 67
480 190 81 81
480 191 81 81
480 192 81 81
480 193 81 81
480 194 81 81
479 195 81 81
480 195 81 81
386 196 34 34
387 196 34 34
480 196 81 81
479 197 81 81
480 197 81 81
473 198 39 39
480 198 81 81
472 199 39 39
473 199 39 39
480 199 81 81
480 200 81 81
237 201 41 41
238 201 41 41
349 201 97 97
350 201 97 97
480 201 81 81
114 202 95 95
350 202 97 97
480 202 81 81
114 203 95 95
162 203 31 31
480 203 81 81
161 204 31 31
162 204 31 31
480 204 81 81
162 205 31 31
324 205 55 55
325 205 55 55
480 205 81 81
480 206 81 81
480 207 81 81
480 208 81 81
452 209 30 30
480 209 81 81
452 210 30 30
480 210 81 81
480 211 81 81
480 212 81 81
480 213 81 81
