20804 481 321
0 0 43 43
1 0 43 43
2 0 43 43
3 0 43 43
4 0 43 43
5 0 43 43
6 0 43 43
7 0 43 43
8 0 43 43
9 0 43 43
10 0 43 43
11 0 43 43
12 0 43 43
13 0 43 43
14 0 43 43
15 0 43 43
16 0 43 43
17 0 43 43
18 0 43 43
19 0 43 43
20 0 43 43
21 0 43 43
22 0 43 43
23 0 43 43
24 0 43 43
26 0 43 43
446 0 45 45
447 0 45 45
448 0 45 45
449 0 45 45
450 0 45 45
451 0 45 45
452 0 45 45
453 0 45 45
454 0 45 45
455 0 45 45
456 0 45 45
457 0 45 45
458 0 45 45
459 0 45 45
460 0 45 45
461 0 45 45
462 0 45 45
463 0 45 45
464 0 45 45
465 0 45 45
466 0 45 45
467 0 45 45
468 0 45 45
469 0 45 45
470 0 45 45
471 0 45 45
472 0 45 45
473 0 45 45
474 0 45 45
475 0 45 45
476 0 45 45
477 0 45 45
478 0 45 45
479 0 45 45
480 0 45 45
0 1 43 43
1 1 43 43
2 1 43 43
3 1 43 43
4 1 43 43
5 1 43 43
6 1 43 43
7 1 43 43
8 1 43 43
9 1 43 43
10 1 43 43
11 1 43 43
12 1 43 43
13 1 43 43
14 1 43 43
15 1 43 43
16 1 43 43
17 1 43 43
18 1 43 43
19 1 43 43
20 1 43 43
21 1 43 43
22 1 43 43
23 1 43 43
25 1 43 43
26 1 43 43
446 1 45 45
447 1 45 45
448 1 45 45
449 1 45 45
450 1 45 45
451 1 45 45
452 1 45 45
453 1 45 45
454 1 45 45
455 1 45 45
456 1 45 45
457 1 45 45
458 1 45 45
459 1 45 45
460 1 45 45
461 1 45 45
462 1 45 45
463 1 45 45
464 1 45 45
465 1 45 45
466 1 45 45
467 1 45 45
468 1 45 45
469 1 45 45
470 1 45 45
471 1 45 45
472 1 45 45
473 1 45 45
474 1 45 45
475 1 45 45
476 1 45 45
477 1 45 45
478 1 45 45
479 1 45 45
480 1 45 45
0 2 43 43
1 2 43 43
2 2 43 43
3 2 43 43
4 2 43 43
5 2 43 43
6 2 43 43
7 2 43 43
8 2 43 43
9 2 43 43
10 2 43 43
11 2 43 43
12 2 43 43
13 2 43 43
14 2 43 43
15 2 43 43
16 2 43 43
17 2 43 43
18 2 43 43
19 2 43 43
20 2 43 43
21 2 43 43
22 2 43 43
23 2 43 43
25 2 43 43
26 2 43 43
446 2 45 45
447 2 45 45
448 2 45 45
449 2 45 45
450 2 45 45
451 2 45 45
452 2 45 45
453 2 45 45
454 2 45 45
455 2 45 45
456 2 45 45
457 2 45 45
458 2 45 45
459 2 45 45
460 2 45 45
461 2 45 45
462 2 45 45
463 2 45 45
464 2 45 45
465 2 45 45
466 2 45 45
467 2 45 45
468 2 45 45
469 2 45 45
470 2 45 45
471 2 45 45
472 2 45 45
473 2 45 45
474 2 45 45
475 2 45 45
476 2 45 45
477 2 45 45
478 2 45 45
479 2 45 45
480 2 45 45
0 3 43 43
1 3 43 43
2 3 43 43
3 3 43 43
4 3 43 43
5 3 43 43
6 3 43 43
7 3 43 43
8 3 43 43
9 3 43 43
10 3 43 43
11 3 43 43
12 3 43 43
13 3 43 43
14 3 43 43
15 3 43 43
16 3 43 43
17 3 43 43
18 3 43 43
19 3 43 43
20 3 43 43
21 3 43 43
22 3 43 43
23 3 43 43
24 3 43 43
25 3 43 43
26 3 43 43
445 3 45 45
446 3 45 45
447 3 45 45
448 3 45 45
449 3 45 45
450 3 45 45
451 3 45 45
452 3 45 45
453 3 45 45
454 3 45 45
455 3 45 45
456 3 45 45
457 3 45 45
458 3 45 45
459 3 45 45
460 3 45 45
461 3 45 45
462 3 45 45
463 3 45 45
464 3 45 45
465 3 45 45
466 3 45 45
467 3 45 45
468 3 45 45
469 3 45 45
