350 481 321
22 1 95 95
22 2 95 95
23 2 95 95
20 3 95 95
21 3 95 95
22 3 95 95
20 4 95 95
84 4 98 98
85 4 98 98
20 5 95 95
85 5 98 98
216 5 45 45
216 6 45 45
375 6 84 84
376 6 84 84
216 7 45 45
313 8 96 96
315 8 96 96
313 9 96 96
314 9 96 96
315 9 96 96
316 9 96 96
66 14 61 61
66 15 61 61
67 15 61 61
129 18 54 54
130 18 54 54
131 18 54 54
455 20 68 68
455 21 68 68
55 28 63 63
53 29 63 63
54 29 63 63
55 29 63 63
53 30 63 63
73 30 8 8
74 30 8 8
75 30 8 8
76 30 8 8
72 31 8 8
73 31 8 8
296 31 4 4
73 32 8 8
296 32 4 4
409 35 94 94
372 36 55 55
373 36 55 55
409 36 94 94
409 37 94 94
208 38 29 29
339 38 14 14
361 38 35 35
409 38 94 94
208 39 29 29
339 39 14 14
361 39 35 35
208 40 29 29
447 41 51 51
458 41 91 91
459 41 91 91
447 42 51 51
458 42 91 91
459 42 91 91
458 43 91 91
458 44 91 91
458 45 91 91
88 49 44 44
88 50 44 44
89 50 44 44
90 50 44 44
131 60 49 49
132 60 49 49
133 60 49 49
370 60 89 89
247 61 81 81
370 61 89 89
247 62 81 81
51 64 69 69
52 64 69 69
428 64 52 52
51 65 69 69
428 65 52 52
51 66 69 69
324 66 48 48
325 66 48 48
326 66 48 48
428 66 52 52
428 67 52 52
428 68 52 52
13 72 7 7
13 73 7 7
462 74 19 19
463 74 19 19
192 75 39 39
193 75 39 39
462 75 19 19
462 76 19 19
29 88 5 5
30 88 5 5
399 88 46 46
400 88 46 46
76 93 62 62
77 93 62 62
463 98 38 38
464 98 38 38
242 99 12 12
243 99 12 12
112 100 75 75
300 100 71 71
301 100 71 71
112 101 75 75
279 111 24 24
278 112 24 24
279 112 24 24
56 119 37 37
56 120 37 37
196 125 92 92
196 126 92 92
246 126 77 77
247 126 77 77
196 127 92 92
197 127 92 92
246 127 77 77
247 127 77 77
226 131 66 66
226 132 66 66
227 132 66 66
297 133 70 70
298 133 70 70
299 133 70 70
69 135 6 6
180 135 36 36
181 135 36 36
69 136 6 6
337 138 26 26
250 139 74 74
337 139 26 26
249 140 74 74
250 140 74 74
337 140 26 26
250 141 74 74
450 143 78 78
451 143 78 78
450 144 78 78
203 148 73 73
202 149 73 73
203 149 73 73
202 150 73 73
202 151 73 73
213 154 3 3
22 155 40 40
23 155 40 40
213 155 3 3
432 155 85 85
433 155 85 85
144 160 79 79
143 161 79 79
144 161 79 79
145 161 79 79
383 162 47 47
383 163 47 47
171 167 76 76
172 167 76 76
114 169 83 83
115 169 83 83
116 169 83 83
205 170 67 67
206 170 67 67
207 170 67 67
305 172 32 32
305 173 32 32
421 175 1 1
422 175 1 1
422 176 1 1
222 180 15 15
222 181 15 15
43 184 65 65
342 184 41 41
42 185 65 65
43 185 65 65
342 185 41 41
234 191 0 0
234 192 0 0
164 197 56 56
420 197 17 17
164 198 56 56
420 198 17 17
419 199 17 17
420 199 17 17
420 200 17 17
421 200 17 17
120 202 30 30
119 203 30 30
120 203 30 30
187 203 20 20
188 203 20 20
270 204 64 64
68 205 80 80
69 205 80 80
270 205 64 64
271 205 64 64
290 205 31 31
101 206 21 21
102 206 21 21
103 206 21 21
290 206 31 31
103 207 21 21
290 207 31 31
291 207 31 31
291 208 31 31
341 210 82 82
342 210 82 82
342 211 82 82
343 211 82 82
344 211 82 82
115 217 33 33
116 217 33 33
117 217 33 33
7 218 23 23
114 218 33 33
115 218 33 33
151 218 58 58
152 218 58 58
153 218 58 58
7 219 23 23
152 219 58 58
7 220 23 23
