1649 481 321
389 0 14 14
390 0 14 14
200 31 48 48
199 32 48 48
200 32 48 48
201 32 48 48
207 32 48 48
200 33 48 48
201 33 48 48
202 33 48 48
203 33 48 48
204 33 48 48
205 33 48 48
206 33 48 48
207 33 48 48
208 33 48 48
200 34 48 48
201 34 48 48
202 34 48 48
204 34 48 48
205 34 48 48
206 34 48 48
200 35 48 48
201 35 48 48
202 35 48 48
203 35 48 48
204 35 48 48
205 35 48 48
200 36 48 48
201 36 48 48
202 36 48 48
203 36 48 48
204 36 48 48
205 36 48 48
206 36 48 48
207 36 48 48
208 36 48 48
209 36 48 48
205 37 48 48
204 38 48 48
205 38 48 48
206 38 48 48
207 38 48 48
200 39 48 48
201 39 48 48
202 39 48 48
203 39 48 48
204 39 48 48
205 39 48 48
200 40 48 48
201 40 48 48
202 40 48 48
203 40 48 48
204 40 48 48
205 40 48 48
206 40 48 48
203 41 48 48
204 41 48 48
427 52 38 38
427 53 38 38
154 54 26 26
427 54 38 38
154 55 26 26
155 55 26 26
427 55 38 38
154 56 26 26
155 56 26 26
427 56 38 38
155 57 26 26
427 57 38 38
155 58 26 26
427 58 38 38
427 59 38 38
387 60 35 35
388 60 35 35
389 60 35 35
387 61 35 35
50 74 43 43
51 74 43 43
52 74 43 43
50 75 43 43
51 75 43 43
51 76 43 43
50 77 43 43
51 77 43 43
53 77 43 43
51 78 43 43
52 78 43 43
53 78 43 43
442 81 37 37
443 81 37 37
444 81 37 37
445 81 37 37
446 81 37 37
447 81 37 37
351 82 39 39
445 82 37 37
446 82 37 37
121 83 12 12
348 83 39 39
349 83 39 39
350 83 39 39
351 83 39 39
120 84 12 12
121 84 12 12
122 84 12 12
344 84 39 39
345 84 39 39
346 84 39 39
347 84 39 39
348 84 39 39
349 84 39 39
350 84 39 39
351 84 39 39
121 85 12 12
122 85 12 12
123 85 12 12
285 85 44 44
286 85 44 44
287 85 44 44
350 85 39 39
351 85 39 39
287 86 44 44
190 89 30 30
191 89 30 30
190 90 30 30
21 91 29 29
18 92 29 29
19 92 29 29
20 92 29 29
21 92 29 29
17 93 29 29
20 93 29 29
16 94 29 29
17 94 29 29
18 94 29 29
19 94 29 29
20 94 29 29
17 95 29 29
20 95 29 29
75 99 27 27
