15818 481 321
2 0 18 18
3 0 18 18
4 0 18 18
5 0 18 18
6 0 18 18
7 0 18 18
9 0 18 18
10 0 18 18
11 0 18 18
12 0 18 18
13 0 18 18
14 0 18 18
15 0 18 18
17 0 18 18
18 0 18 18
21 0 18 18
22 0 18 18
24 0 18 18
25 0 18 18
26 0 72 72
27 0 72 72
28 0 72 72
29 0 72 72
30 0 72 72
31 0 72 72
32 0 72 72
33 0 72 72
34 0 72 72
35 0 72 72
36 0 72 72
37 0 72 72
38 0 72 72
39 0 72 72
40 0 72 72
41 0 72 72
42 0 72 72
43 0 72 72
44 0 72 72
45 0 72 72
46 0 72 72
47 0 72 72
48 0 72 72
49 0 72 72
50 0 72 72
51 0 72 72
52 0 72 72
53 0 72 72
54 0 72 72
55 0 72 72
56 0 72 72
57 0 72 72
58 0 72 72
59 0 72 72
60 0 72 72
61 0 72 72
62 0 72 72
63 0 72 72
64 0 72 72
65 0 72 72
66 0 72 72
77 0 72 72
78 0 72 72
80 0 72 72
81 0 72 72
82 0 72 72
85 0 72 72
86 0 72 72
87 0 72 72
88 0 72 72
89 0 72 72
90 0 72 72
91 0 72 72
92 0 72 72
93 0 72 72
417 0 73 73
418 0 73 73
419 0 73 73
422 0 73 73
423 0 73 73
425 0 73 73
432 0 73 73
433 0 73 73
434 0 73 73
435 0 73 73
436 0 73 73
437 0 73 73
438 0 73 73
439 0 73 73
440 0 73 73
441 0 73 73
442 0 73 73
445 0 73 73
446 0 73 73
447 0 73 73
448 0 73 73
449 0 73 73
450 0 73 73
451 0 73 73
472 0 73 73
473 0 73 73
474 0 73 73
475 0 73 73
476 0 73 73
477 0 73 73
478 0 73 73
479 0 73 73
480 0 73 73
2 1 18 18
3 1 18 18
4 1 18 18
5 1 18 18
6 1 18 18
7 1 18 18
10 1 18 18
17 1 18 18
18 1 18 18
19 1 18 18
20 1 18 18
21 1 18 18
24 1 18 18
25 1 18 18
26 1 18 18
27 1 72 72
28 1 72 72
29 1 72 72
30 1 72 72
31 1 72 72
32 1 72 72
33 1 72 72
34 1 72 72
35 1 72 72
36 1 72 72
37 1 72 72
38 1 72 72
39 1 72 72
40 1 72 72
41 1 72 72
42 1 72 72
43 1 72 72
44 1 72 72
45 1 72 72
46 1 72 72
47 1 72 72
48 1 72 72
49 1 72 72
50 1 72 72
51 1 72 72
52 1 72 72
53 1 72 72
54 1 72 72
55 1 72 72
56 1 72 72
57 1 72 72
58 1 72 72
59 1 72 72
60 1 72 72
61 1 72 72
62 1 72 72
63 1 72 72
64 1 72 72
65 1 72 72
66 1 72 72
76 1 72 72
77 1 72 72
78 1 72 72
79 1 72 72
80 1 72 72
81 1 72 72
82 1 72 72
84 1 72 72
85 1 72 72
86 1 72 72
87 1 72 72
88 1 72 72
89 1 72 72
90 1 72 72
91 1 72 72
419 1 73 73
420 1 73 73
421 1 73 73
422 1 73 73
423 1 73 73
425 1 73 73
429 1 73 73
432 1 73 73
433 1 73 73
