7812 481 321
52 10 51 51
53 10 51 51
96 12 138 138
96 13 138 138
104 13 138 138
105 13 138 138
106 13 138 138
162 13 3 3
163 13 3 3
164 13 3 3
165 13 3 3
166 13 3 3
167 13 3 3
171 13 3 3
172 13 3 3
96 14 138 138
100 14 138 138
104 14 138 138
156 14 3 3
157 14 3 3
158 14 3 3
167 14 3 3
168 14 3 3
169 14 3 3
170 14 3 3
171 14 3 3
96 15 138 138
97 15 138 138
98 15 138 138
99 15 138 138
100 15 138 138
101 15 138 138
102 15 138 138
103 15 138 138
104 15 138 138
107 15 138 138
119 15 138 138
120 15 138 138
121 15 138 138
152 15 3 3
153 15 3 3
154 15 3 3
155 15 3 3
156 15 3 3
161 15 3 3
162 15 3 3
163 15 3 3
167 15 3 3
337 15 146 146
342 15 146 146
4 16 27 27
5 16 27 27
96 16 138 138
97 16 138 138
99 16 138 138
100 16 138 138
101 16 138 138
102 16 138 138
103 16 138 138
104 16 138 138
105 16 138 138
106 16 138 138
107 16 138 138
108 16 138 138
110 16 138 138
111 16 138 138
112 16 138 138
113 16 138 138
114 16 138 138
115 16 138 138
120 16 138 138
121 16 138 138
151 16 3 3
152 16 3 3
153 16 3 3
154 16 3 3
155 16 3 3
156 16 3 3
157 16 3 3
158 16 3 3
159 16 3 3
160 16 3 3
161 16 3 3
162 16 3 3
163 16 3 3
164 16 3 3
165 16 3 3
166 16 3 3
167 16 3 3
169 16 3 3
170 16 3 3
171 16 3 3
334 16 146 146
335 16 146 146
336 16 146 146
337 16 146 146
338 16 146 146
339 16 146 146
340 16 146 146
341 16 146 146
342 16 146 146
343 16 146 146
344 16 146 146
345 16 146 146
346 16 146 146
347 16 146 146
348 16 146 146
349 16 146 146
350 16 146 146
351 16 146 146
96 17 138 138
97 17 138 138
98 17 138 138
99 17 138 138
100 17 128 128
101 17 138 138
102 17 138 138
103 17 138 138
104 17 138 138
106 17 138 138
107 17 138 138
108 17 138 138
109 17 138 138
110 17 138 138
111 17 138 138
112 17 138 138
113 17 138 138
114 17 138 138
115 17 138 138
116 17 138 138
117 17 138 138
118 17 138 138
119 17 138 138
120 17 138 138
121 17 138 138
152 17 3 3
153 17 3 3
154 17 3 3
155 17 3 3
156 17 3 3
157 17 3 3
158 17 3 3
159 17 3 3
160 17 3 3
161 17 3 3
169 17 3 3
170 17 3 3
171 17 3 3
332 17 146 146
333 17 146 146
334 17 146 146
335 17 146 146
336 17 146 146
337 17 146 146
338 17 146 146
339 17 146 146
340 17 146 146
341 17 146 146
342 17 146 146
343 17 146 146
344 17 146 146
345 17 146 146
346 17 146 146
347 17 146 146
348 17 146 146
349 17 146 146
350 17 146 146
351 17 146 146
93 18 128 128
94 18 128 128
96 18 128 128
97 18 138 138
98 18 138 138
99 18 128 128
100 18 128 128
101 18 128 128
102 18 138 138
103 18 138 138
104 18 138 138
105 18 138 138
106 18 138 138
107 18 138 138
108 18 138 138
109 18 138 138
110 18 138 138
111 18 138 138
112 18 138 138
113 18 138 138
114 18 138 138
115 18 138 138
116 18 138 138
117 18 138 138
118 18 138 138
119 18 138 138
120 18 138 138
121 18 138 138
124 18 138 138
125 18 138 138
153 18 3 3
154 18 3 3
155 18 3 3
160 18 3 3
166 18 3 3
167 18 3 3
169 18 3 3
170 18 3 3
171 18 3 3
327 18 146 146
328 18 146 146
329 18 146 146
330 18 146 146
331 18 146 146
332 18 146 146
333 18 146 146
334 18 146 146
335 18 146 146
336 18 146 146
337 18 146 146
338 18 146 146
339 18 146 146
340 18 146 146
341 18 146 146
342 18 146 146
343 18 146 146
344 18 146 146
345 18 146 146
346 18 146 146
347 18 146 146
348 18 146 146
349 18 146 146
350 18 146 146
351 18 146 146
352 18 146 146
353 18 146 146
354 18 146 146
355 18 146 146
356 18 146 146
357 18 146 146
94 19 128 128
95 19 128 128
96 19 128 128
97 19 138 138
98 19 138 138
99 19 128 128
100 19 128 128
101 19 128 128
102 19 138 138
103 19 138 138
104 19 138 138
105 19 138 138
107 19 138 138
108 19 138 138
109 19 138 138
110 19 138 138
112 19 138 138
113 19 138 138
114 19 138 138
115 19 138 138
116 19 138 138
117 19 138 138
118 19 138 138
119 19 138 138
120 19 138 138
121 19 138 138
124 19 138 138
125 19 138 138
126 19 138 138
131 19 138 138
140 19 138 138
141 19 138 138
142 19 138 138
143 19 138 138
154 19 3 3
155 19 3 3
160 19 3 3
161 19 3 3
162 19 3 3
163 19 3 3
164 19 3 3
165 19 3 3
166 19 3 3
167 19 3 3
169 19 3 3
170 19 3 3
174 19 3 3
175 19 3 3
326 19 146 146
327 19 146 146
328 19 146 146
329 19 146 146
330 19 146 146
331 19 146 146
332 19 146 146
333 19 146 146
334 19 146 146
335 19 146 146
336 19 146 146
337 19 146 146
338 19 146 146
339 19 146 146
340 19 146 146
341 19 146 146
342 19 146 146
343 19 146 146
344 19 146 146
345 19 146 146
346 19 146 146
347 19 146 146
348 19 146 146
349 19 146 146
350 19 146 146
351 19 146 146
352 19 146 146
353 19 146 146
354 19 146 146
355 19 146 146
356 19 146 146
357 19 146 146
358 19 146 146
359 19 146 146
360 19 146 146
367 19 146 146
95 20 128 128
96 20 128 128
97 20 138 138
98 20 138 138
99 20 128 128
100 20 128 128
101 20 138 138
102 20 138 138
103 20 138 138
106 20 138 138
107 20 138 138
111 20 138 138
112 20 138 138
113 20 138 138
114 20 138 138
115 20 138 138
116 20 138 138
117 20 138 138
118 20 138 138
119 20 138 138
120 20 138 138
121 20 138 138
122 20 138 138
123 20 138 138
124 20 138 138
125 20 138 138
126 20 138 138
130 20 138 138
131 20 138 138
139 20 138 138
140 20 138 138
141 20 138 138
142 20 138 138
143 20 138 138
155 20 3 3
156 20 3 3
157 20 3 3
158 20 3 3
159 20 3 3
160 20 3 3
161 20 3 3
162 20 3 3
163 20 3 3
164 20 3 3
165 20 3 3
166 20 3 3
167 20 3 3
168 20 3 3
169 20 3 3
170 20 3 3
174 20 3 3
175 20 3 3
323 20 146 146
324 20 146 146
325 20 146 146
326 20 146 146
327 20 146 146
331 20 146 146
332 20 146 146
333 20 146 146
334 20 146 146
335 20 146 146
336 20 146 146
337 20 146 146
338 20 146 146
339 20 146 146
340 20 146 146
341 20 146 146
342 20 146 146
343 20 146 146
344 20 146 146
345 20 146 146
346 20 146 146
347 20 146 146
348 20 146 146
349 20 146 146
350 20 146 146
351 20 146 146
352 20 146 146
353 20 146 146
354 20 146 146
355 20 146 146
356 20 146 146
357 20 146 146
358 20 146 146
359 20 146 146
360 20 146 146
361 20 146 146
362 20 146 146
363 20 146 146
364 20 146 146
365 20 146 146
366 20 146 146
367 20 146 146
368 20 146 146
369 20 146 146
370 20 146 146
96 21 128 128
97 21 138 138
98 21 138 138
99 21 128 128
100 21 128 128
101 21 138 138
102 21 138 138
103 21 138 138
110 21 138 138
111 21 138 138
112 21 138 138
113 21 138 138
114 21 138 138
115 21 138 138
116 21 138 138
117 21 138 138
118 21 138 138
119 21 138 138
120 21 138 138
121 21 138 138
122 21 138 138
123 21 138 138
124 21 138 138
125 21 138 138
126 21 138 138
127 21 138 138
128 21 138 138
129 21 138 138
130 21 138 138
138 21 138 138
139 21 138 138
140 21 138 138
152 21 3 3
153 21 3 3
154 21 3 3
155 21 3 3
156 21 3 3
157 21 3 3
160 21 3 3
161 21 3 3
162 21 3 3
163 21 3 3
164 21 3 3
165 21 3 3
166 21 3 3
168 21 3 3
169 21 3 3
170 21 3 3
173 21 3 3
174 21 3 3
175 21 3 3
177 21 3 3
178 21 3 3
319 21 146 146
320 21 146 146
321 21 146 146
322 21 146 146
323 21 146 146
324 21 146 146
325 21 146 146
326 21 146 146
327 21 146 146
328 21 146 146
329 21 146 146
330 21 146 146
331 21 146 146
332 21 146 146
333 21 146 146
334 21 146 146
335 21 146 146
336 21 146 146
337 21 146 146
338 21 146 146
339 21 146 146
340 21 146 146
341 21 146 146
342 21 146 146
343 21 146 146
344 21 146 146
345 21 146 146
346 21 146 146
347 21 146 146
348 21 146 146
349 21 146 146
350 21 146 146
351 21 146 146
352 21 146 146
353 21 146 146
354 21 146 146
355 21 146 146
357 21 146 146
358 21 146 146
359 21 146 146
360 21 146 146
361 21 146 146
362 21 146 146
363 21 146 146
364 21 146 146
365 21 146 146
366 21 146 146
367 21 146 146
368 21 146 146
369 21 146 146
370 21 146 146
96 22 128 128
97 22 128 128
98 22 138 138
99 22 128 128
100 22 128 128
101 22 128 128
102 22 138 138
103 22 138 138
104 22 138 138
105 22 138 138
106 22 138 138
107 22 138 138
108 22 138 138
109 22 138 138
110 22 138 138
111 22 138 138
112 22 138 138
113 22 138 138
114 22 138 138
115 22 138 138
116 22 138 138
117 22 138 138
118 22 138 138
119 22 138 138
120 22 128 128
121 22 138 138
122 22 138 138
123 22 138 138
124 22 138 138
125 22 138 138
126 22 138 138
127 22 138 138
128 22 138 138
129 22 138 138
130 22 138 138
136 22 138 138
137 22 138 138
138 22 138 138
139 22 138 138
140 22 138 138
141 22 138 138
156 22 3 3
157 22 3 3
158 22 3 3
159 22 3 3
160 22 138 138
161 22 138 138
162 22 138 138
163 22 3 3
164 22 3 3
165 22 3 3
166 22 3 3
167 22 3 3
168 22 3 3
169 22 3 3
170 22 3 3
171 22 3 3
172 22 3 3
173 22 3 3
174 22 3 3
175 22 3 3
178 22 3 3
179 22 3 3
180 22 3 3
181 22 3 3
182 22 3 3
183 22 3 3
320 22 146 146
321 22 146 146
322 22 146 146
323 22 146 146
324 22 146 146
325 22 146 146
326 22 146 146
327 22 146 146
328 22 146 146
329 22 146 146
330 22 146 146
331 22 146 146
332 22 146 146
333 22 146 146
334 22 146 146
335 22 146 146
336 22 146 146
337 22 146 146
338 22 146 146
339 22 146 146
340 22 146 146
341 22 146 146
342 22 146 146
343 22 146 146
344 22 146 146
345 22 146 146
346 22 146 146
347 22 146 146
348 22 146 146
349 22 146 146
350 22 146 146
351 22 146 146
352 22 146 146
353 22 146 146
354 22 146 146
355 22 146 146
356 22 146 146
357 22 146 146
358 22 146 146
359 22 146 146
360 22 146 146
361 22 146 146
362 22 146 146
365 22 146 146
366 22 146 146
367 22 146 146
369 22 146 146
372 22 146 146
373 22 146 146
374 22 146 146
375 22 146 146
96 23 128 128
97 23 128 128
98 23 128 128
99 23 128 128
100 23 128 128
101 23 128 128
102 23 138 138
103 23 128 128
104 23 138 138
108 23 138 138
109 23 138 138
110 23 138 138
112 23 138 138
113 23 138 138
114 23 138 138
115 23 138 138
116 23 138 138
117 23 138 138
118 23 128 128
