20691 481 321
80 0 223 223
81 0 223 223
82 0 223 223
238 0 101 101
239 0 101 101
240 0 101 101
341 0 187 187
342 0 187 187
63 1 15 15
64 1 15 15
160 1 33 33
161 1 33 33
162 1 33 33
240 1 86 86
241 1 86 86
332 1 27 27
333 1 27 27
334 1 27 27
67 3 147 147
74 3 147 147
75 3 147 147
76 3 147 147
77 3 147 147
434 3 19 19
435 3 19 19
67 4 147 147
72 4 147 147
75 4 147 147
76 4 147 147
77 4 147 147
78 4 147 147
79 4 147 147
325 4 24 24
432 4 19 19
433 4 19 19
435 4 19 19
436 4 19 19
437 4 19 19
438 4 19 19
439 4 19 19
67 5 147 147
70 5 147 147
71 5 147 147
72 5 147 147
73 5 147 147
74 5 147 147
75 5 147 147
76 5 147 147
231 5 149 149
232 5 149 149
324 5 24 24
325 5 24 24
326 5 24 24
430 5 19 19
431 5 19 19
432 5 19 19
433 5 19 19
434 5 19 19
435 5 19 19
440 5 19 19
67 6 147 147
68 6 147 147
69 6 147 147
70 6 147 147
71 6 147 147
72 6 147 147
75 6 147 147
76 6 147 147
77 6 147 147
78 6 147 147
79 6 147 147
231 6 149 149
324 6 24 24
325 6 24 24
430 6 19 19
434 6 19 19
435 6 19 19
436 6 19 19
437 6 19 19
440 6 19 19
441 6 19 19
41 7 36 36
42 7 36 36
70 7 147 147
73 7 147 147
74 7 147 147
75 7 147 147
76 7 147 147
231 7 149 149
322 7 24 24
323 7 24 24
324 7 24 24
325 7 24 24
434 7 19 19
435 7 19 19
436 7 19 19
437 7 19 19
440 7 19 19
441 7 19 19
442 7 19 19
443 7 19 19
41 8 36 36
43 8 36 36
67 8 147 147
68 8 147 147
69 8 147 147
70 8 147 147
74 8 147 147
75 8 147 147
76 8 147 147
77 8 147 147
78 8 147 147
86 8 67 67
87 8 67 67
180 8 49 49
181 8 49 49
184 8 49 49
225 8 149 149
226 8 149 149
231 8 149 149
275 8 173 173
276 8 173 173
317 8 24 24
324 8 24 24
325 8 24 24
326 8 24 24
436 8 19 19
437 8 19 19
438 8 19 19
439 8 19 19
441 8 19 19
442 8 19 19
443 8 19 19
447 8 19 19
35 9 36 36
36 9 36 36
37 9 36 36
41 9 36 36
42 9 36 36
43 9 36 36
