480 481 321
72 1 9 9
72 2 9 9
72 3 9 9
73 3 9 9
74 3 9 9
75 3 9 9
76 3 9 9
74 4 9 9
75 4 9 9
71 5 9 9
75 5 9 9
76 5 9 9
77 5 9 9
78 5 9 9
79 5 9 9
80 5 9 9
69 6 9 9
70 6 9 9
71 6 9 9
72 6 9 9
73 6 9 9
74 6 9 9
75 6 9 9
77 6 9 9
78 6 9 9
79 6 9 9
81 6 9 9
82 6 9 9
83 6 9 9
84 6 9 9
86 6 9 9
87 6 9 9
90 6 9 9
91 6 9 9
92 6 9 9
93 6 9 9
94 6 9 9
95 6 9 9
69 7 9 9
70 7 9 9
72 7 9 9
73 7 9 9
74 7 9 9
75 7 9 9
77 7 9 9
78 7 9 9
80 7 9 9
81 7 9 9
82 7 9 9
83 7 9 9
84 7 9 9
86 7 9 9
87 7 9 9
88 7 9 9
89 7 9 9
90 7 9 9
91 7 9 9
92 7 9 9
93 7 9 9
94 7 9 9
95 7 9 9
64 8 9 9
65 8 9 9
66 8 9 9
67 8 9 9
68 8 9 9
69 8 9 9
70 8 9 9
71 8 9 9
78 8 9 9
79 8 9 9
80 8 9 9
81 8 9 9
82 8 9 9
83 8 9 9
87 8 9 9
89 8 9 9
91 8 9 9
57 9 9 9
58 9 9 9
62 9 9 9
63 9 9 9
64 9 9 9
65 9 9 9
66 9 9 9
67 9 9 9
68 9 9 9
69 9 9 9
70 9 9 9
71 9 9 9
72 9 9 9
73 9 9 9
74 9 9 9
78 9 9 9
79 9 9 9
80 9 9 9
81 9 9 9
82 9 9 9
84 9 9 9
86 9 9 9
87 9 9 9
89 9 9 9
90 9 9 9
91 9 9 9
56 10 9 9
57 10 9 9
58 10 9 9
64 10 9 9
65 10 9 9
66 10 9 9
67 10 9 9
68 10 9 9
69 10 9 9
70 10 9 9
71 10 9 9
74 10 9 9
75 10 9 9
76 10 9 9
77 10 9 9
78 10 9 9
79 10 9 9
80 10 9 9
81 10 9 9
82 10 9 9
84 10 9 9
85 10 9 9
86 10 9 9
88 10 9 9
89 10 9 9
90 10 9 9
56 11 9 9
57 11 9 9
58 11 9 9
59 11 9 9
62 11 9 9
63 11 9 9
64 11 9 9
65 11 9 9
66 11 9 9
67 11 9 9
68 11 9 9
69 11 9 9
70 11 9 9
71 11 9 9
72 11 9 9
73 11 9 9
74 11 9 9
75 11 9 9
76 11 9 9
77 11 9 9
78 11 9 9
79 11 9 9
82 11 9 9
83 11 9 9
84 11 9 9
86 11 9 9
88 11 9 9
89 11 9 9
57 12 9 9
58 12 9 9
59 12 9 9
61 12 9 9
62 12 9 9
63 12 9 9
64 12 9 9
65 12 9 9
66 12 9 9
67 12 9 9
68 12 9 9
69 12 9 9
70 12 9 9
71 12 9 9
83 12 9 9
84 12 9 9
86 12 9 9
57 13 9 9
58 13 9 9
59 13 9 9
60 13 9 9
61 13 9 9
64 13 9 9
65 13 9 9
66 13 9 9
67 13 9 9
68 13 9 9
69 13 9 9
70 13 9 9
71 13 9 9
74 13 9 9
75 13 9 9
76 13 9 9
77 13 9 9
78 13 9 9
79 13 9 9
82 13 9 9
83 13 9 9
84 13 9 9
85 13 9 9
86 13 9 9
56 14 9 9
57 14 9 9
59 14 9 9
60 14 9 9
61 14 9 9
62 14 9 9
63 14 9 9
66 14 9 9
67 14 9 9
68 14 9 9
69 14 9 9
76 14 9 9
77 14 9 9
78 14 9 9
79 14 9 9
80 14 9 9
81 14 9 9
82 14 9 9
85 14 9 9
57 15 9 9
58 15 9 9
66 15 9 9
67 15 9 9
68 15 9 9
69 15 9 9
74 15 9 9
75 15 9 9
76 15 9 9
82 15 9 9
83 15 9 9
84 15 9 9
85 15 9 9
86 15 9 9
69 16 9 9
70 16 9 9
71 16 9 9
72 16 9 9
73 16 9 9
84 16 9 9
69 17 9 9
70 17 9 9
71 17 9 9
84 17 9 9
226 80 0 0
226 81 0 0
226 82 0 0
225 83 0 0
226 83 0 0
226 84 0 0
227 84 0 0
225 85 0 0
226 85 0 0
226 86 0 0
226 87 0 0
270 152 7 7
271 152 7 7
270 153 7 7
270 154 7 7
271 154 7 7
270 155 7 7
271 155 7 7
272 155 7 7
270 156 7 7
271 156 7 7
272 156 7 7
270 157 7 7
271 157 7 7
270 158 7 7
271 158 7 7
273 158 7 7
270 159 7 7
271 159 7 7
272 159 7 7
273 159 7 7
270 160 7 7
271 160 7 7
270 161 7 7
271 161 7 7
272 161 7 7
271 162 7 7
272 162 7 7
274 162 7 7
275 162 7 7
271 163 7 7
272 163 7 7
273 163 7 7
274 163 7 7
275 163 7 7
270 164 7 7
271 164 7 7
273 164 7 7
274 164 7 7
275 164 7 7
269 165 7 7
270 165 7 7
271 165 7 7
272 165 7 7
273 165 7 7
274 165 7 7
268 166 7 7
269 166 7 7
270 166 7 7
271 166 7 7
273 166 7 7
274 166 7 7
270 167 7 7
271 167 7 7
272 167 7 7
273 167 7 7
274 167 7 7
275 167 7 7
277 167 7 7
270 168 7 7
271 168 7 7
272 168 7 7
273 168 7 7
274 168 7 7
275 168 7 7
276 168 7 7
277 168 7 7
270 169 7 7
