2459 481 321
216 0 18 18
217 0 18 18
220 0 18 18
221 0 18 18
216 1 18 18
217 1 18 18
218 1 18 18
219 1 18 18
220 1 18 18
221 1 18 18
330 79 5 5
330 80 5 5
330 81 5 5
330 82 5 5
331 82 5 5
330 83 5 5
331 83 5 5
330 84 5 5
331 84 5 5
331 85 5 5
332 85 5 5
250 127 7 7
251 127 7 7
252 127 7 7
253 127 7 7
251 128 7 7
253 128 7 7
162 129 4 4
163 129 4 4
164 129 4 4
165 129 4 4
163 130 4 4
164 130 4 4
165 130 4 4
197 140 49 49
190 141 49 49
191 141 49 49
195 141 49 49
196 141 49 49
197 141 49 49
198 141 49 49
199 141 49 49
204 141 49 49
208 141 49 49
209 141 49 49
210 141 49 49
211 141 49 49
189 142 49 49
190 142 49 49
191 142 49 49
192 142 49 49
195 142 49 49
196 142 49 49
197 142 49 49
198 142 49 49
199 142 49 49
201 142 49 49
202 142 49 49
203 142 49 49
204 142 49 49
205 142 49 49
206 142 49 49
207 142 49 49
208 142 49 49
209 142 49 49
210 142 49 49
211 142 49 49
215 142 36 36
216 142 36 36
217 142 36 36
218 142 36 36
219 142 36 36
220 142 36 36
221 142 36 36
222 142 36 36
223 142 36 36
187 143 49 49
188 143 49 49
192 143 49 49
198 143 49 49
199 143 49 49
200 143 49 49
201 143 49 49
202 143 49 49
203 143 49 49
204 143 49 49
205 143 36 36
206 143 36 36
207 143 36 36
208 143 49 49
209 143 49 49
210 143 49 49
211 143 49 49
212 143 36 36
213 143 36 36
214 143 36 36
218 143 36 36
219 143 36 36
220 143 36 36
221 143 36 36
222 143 36 36
223 143 36 36
224 143 36 36
232 143 27 27
233 143 24 24
234 143 24 24
235 143 24 24
236 143 24 24
237 143 24 24
238 143 24 24
239 143 24 24
250 143 26 26
251 143 26 26
252 143 26 26
253 143 26 26
254 143 26 26
255 143 26 26
256 143 26 26
257 143 26 26
258 143 26 26
259 143 26 26
260 143 26 26
261 143 26 26
262 143 26 26
263 143 26 26
264 143 26 26
267 143 26 26
268 143 26 26
269 143 26 26
270 143 26 26
175 144 49 49
176 144 49 49
180 144 49 49
181 144 49 49
187 144 49 49
188 144 49 49
189 144 49 49
190 144 49 49
191 144 49 49
192 144 49 49
193 144 49 49
194 144 49 49
195 144 49 49
196 144 49 49
197 144 49 49
198 144 49 49
199 144 49 49
200 144 49 49
201 144 49 49
202 144 49 49
203 144 49 49
204 144 36 36
205 144 36 36
206 144 36 36
207 144 36 36
208 144 36 36
209 144 36 36
210 144 36 36
211 144 36 36
212 144 36 36
213 144 36 36
214 144 36 36
215 144 36 36
217 144 36 36
218 144 36 36
219 144 36 36
220 144 36 36
221 144 36 36
222 144 36 36
223 144 36 36
224 144 36 36
225 144 36 36
226 144 27 27
230 144 27 27
231 144 27 27
232 144 27 27
233 144 27 27
234 144 27 27
235 144 27 27
236 144 24 24
237 144 24 24
238 144 24 24
239 144 24 24
240 144 24 24
246 144 24 24
250 144 24 24
251 144 26 26
252 144 24 24
253 144 26 26
254 144 24 24
255 144 26 26
256 144 26 26
257 144 26 26
258 144 26 26
259 144 26 26
260 144 26 26
261 144 26 26
262 144 26 26
263 144 26 26
264 144 26 26
265 144 26 26
266 144 26 26
267 144 26 26
268 144 26 26
269 144 26 26
270 144 26 26
271 144 26 26
274 144 26 26
275 144 26 26
276 144 26 26
282 144 26 26
286 144 26 26
175 145 49 49
176 145 49 49
177 145 49 49
180 145 49 49
181 145 49 49
186 145 49 49
187 145 49 49
188 145 49 49
189 145 49 49
190 145 49 49
191 145 49 49
192 145 49 49
193 145 49 49
194 145 49 49
195 145 49 49
196 145 49 49
197 145 49 49
198 145 49 49
199 145 49 49
200 145 49 49
201 145 49 49
202 145 49 49
203 145 36 36
204 145 36 36
205 145 36 36
206 145 36 36
207 145 36 36
208 145 36 36
209 145 36 36
210 145 36 36
211 145 36 36
212 145 36 36
213 145 36 36
214 145 36 36
215 145 36 36
216 145 36 36
217 145 36 36
218 145 36 36
219 145 36 36
220 145 36 36
222 145 36 36
223 145 36 36
224 145 27 27
225 145 27 27
226 145 27 27
227 145 27 27
230 145 27 27
231 145 27 27
232 145 27 27
233 145 27 27
234 145 27 27
235 145 27 27
236 145 27 27
237 145 27 27
238 145 27 27
239 145 24 24
240 145 24 24
241 145 24 24
242 145 24 24
243 145 24 24
244 145 24 24
245 145 24 24
246 145 24 24
247 145 24 24
248 145 24 24
249 145 24 24
250 145 24 24
251 145 24 24
252 145 24 24
253 145 24 24
254 145 24 24
255 145 24 24
256 145 24 24
257 145 24 24
258 145 24 24
259 145 24 24
260 145 24 24
261 145 26 26
262 145 26 26
263 145 24 24
264 145 26 26
265 145 26 26
266 145 26 26
267 145 26 26
268 145 26 26
269 145 26 26
270 145 26 26
271 145 26 26
272 145 26 26
273 145 26 26
274 145 26 26
275 145 26 26
276 145 26 26
277 145 26 26
278 145 26 26
281 145 26 26
282 145 26 26
285 145 26 26
286 145 26 26
290 145 26 26
176 146 49 49
177 146 49 49
178 146 49 49
179 146 49 49
180 146 49 49
181 146 49 49
184 146 49 49
185 146 49 49
186 146 49 49
187 146 49 49
188 146 49 49
189 146 49 49
190 146 49 49
191 146 49 49
192 146 49 49
193 146 49 49
194 146 49 49
195 146 49 49
196 146 49 49
197 146 49 49
198 146 49 49
199 146 49 49
200 146 49 49
201 146 36 36
202 146 36 36
203 146 36 36
204 146 36 36
205 146 36 36
206 146 36 36
207 146 36 36
208 146 36 36
209 146 36 36
210 146 36 36
211 146 36 36
212 146 36 36
213 146 36 36
214 146 36 36
215 146 36 36
216 146 36 36
217 146 36 36
218 146 36 36
219 146 36 36
220 146 36 36
221 146 36 36
222 146 36 36
223 146 36 36
224 146 36 36
225 146 36 36
226 146 27 27
227 146 27 27
228 146 27 27
229 146 27 27
230 146 27 27
231 146 27 27
232 146 27 27
233 146 27 27
236 146 27 27
237 146 27 27
238 146 27 27
239 146 27 27
240 146 27 27
241 146 27 27
242 146 27 27
243 146 27 27
244 146 27 27
245 146 27 27
246 146 27 27
247 146 27 27
248 146 27 27
249 146 27 27
250 146 27 27
251 146 27 27
252 146 27 27
253 146 27 27
254 146 27 27
255 146 27 27
256 146 24 24
257 146 24 24
258 146 24 24
259 146 24 24
260 146 24 24
261 146 24 24
262 146 24 24
263 146 24 24
264 146 24 24
265 146 24 24
266 146 24 24
267 146 24 24
268 146 24 24
269 146 24 24
270 146 24 24
271 146 24 24
272 146 26 26
273 146 26 26
276 146 26 26
277 146 26 26
278 146 26 26
279 146 26 26
280 146 26 26
281 146 26 26
282 146 26 26
283 146 26 26
284 146 26 26
285 146 26 26
286 146 26 26
287 146 26 26
290 146 26 26
291 146 26 26
176 147 49 49
177 147 49 49
178 147 49 49
179 147 49 49
180 147 49 49
181 147 49 49
182 147 49 49
183 147 49 49
184 147 49 49
185 147 49 49
186 147 49 49
187 147 49 49
188 147 49 49
189 147 49 49
190 147 49 49
191 147 49 49
192 147 49 49
193 147 49 49
194 147 49 49
195 147 49 49
196 147 49 49
197 147 49 49
198 147 49 49
199 147 49 49
200 147 36 36
201 147 36 36
202 147 36 36
203 147 36 36
204 147 36 36
205 147 36 36
206 147 36 36
207 147 36 36
208 147 36 36
209 147 36 36
210 147 36 36
211 147 36 36
212 147 36 36
213 147 36 36
214 147 36 36
215 147 36 36
216 147 36 36
217 147 36 36
218 147 36 36
219 147 36 36
220 147 36 36
221 147 36 36
222 147 36 36
223 147 36 36
224 147 36 36
225 147 36 36
226 147 27 27
227 147 27 27
228 147 27 27
229 147 27 27
230 147 27 27
231 147 27 27
232 147 27 27
236 147 27 27
237 147 27 27
238 147 27 27
239 147 27 27
242 147 27 27
243 147 27 27
244 147 27 27
245 147 27 27
246 147 27 27
247 147 27 27
248 147 27 27
249 147 27 27
250 147 27 27
251 147 27 27
252 147 27 27
253 147 27 27
256 147 27 27
257 147 24 24
258 147 24 24
259 147 24 24
260 147 24 24
261 147 24 24
262 147 24 24
263 147 24 24
264 147 24 24
265 147 24 24
266 147 24 24
267 147 24 24
268 147 24 24
269 147 24 24
270 147 24 24
271 147 24 24
272 147 26 26
273 147 26 26
274 147 26 26
275 147 26 26
276 147 26 26
277 147 26 26
278 147 26 26
279 147 26 26
280 147 26 26
281 147 26 26
282 147 26 26
283 147 26 26
284 147 26 26
285 147 26 26
286 147 26 26
287 147 26 26
289 147 26 26
290 147 26 26
291 147 26 26
164 148 49 49
173 148 49 49
174 148 49 49
175 148 49 49
176 148 49 49
177 148 49 49
178 148 49 49
179 148 49 49
180 148 49 49
181 148 49 49
182 148 49 49
183 148 49 49
184 148 49 49
185 148 49 49
186 148 49 49
187 148 49 49
188 148 49 49
189 148 49 49
190 148 49 49
191 148 49 49
192 148 49 49
193 148 49 49
194 148 49 49
195 148 36 36
196 148 36 36
197 148 36 36
198 148 36 36
199 148 36 36
200 148 36 36
201 148 36 36
202 148 36 36
203 148 36 36
204 148 36 36
205 148 36 36
206 148 36 36
207 148 36 36
208 148 36 36
209 148 36 36
210 148 36 36
211 148 36 36
212 148 36 36
213 148 36 36
214 148 27 27
215 148 27 27
216 148 36 36
217 148 36 36
218 148 27 27
219 148 27 27
220 148 27 27
221 148 27 27
222 148 36 36
223 148 36 36
224 148 36 36
225 148 36 36
226 148 36 36
227 148 36 36
228 148 27 27
229 148 27 27
230 148 27 27
231 148 27 27
232 148 27 27
238 148 27 27
239 148 27 27
243 148 27 27
244 148 27 27
245 148 27 27
246 148 27 27
249 148 27 27
250 148 27 27
251 148 27 27
252 148 27 27
253 148 27 27
256 148 27 27
257 148 27 27
258 148 27 27
259 148 27 27
260 148 27 27
261 148 27 27
262 148 24 24
263 148 24 24
264 148 24 24
265 148 24 24
266 148 24 24
267 148 24 24
268 148 24 24
269 148 24 24
270 148 24 24
271 148 26 26
272 148 26 26
273 148 26 26
274 148 26 26
275 148 26 26
276 148 26 26
277 148 26 26
278 148 26 26
279 148 26 26
280 148 26 26
281 148 26 26
282 148 26 26
283 148 26 26
284 148 26 26
285 148 26 26
286 148 26 26
287 148 26 26
288 148 26 26
289 148 26 26
290 148 26 26
291 148 26 26
292 148 26 26
164 149 49 49
169 149 49 49
170 149 49 49
173 149 49 49
174 149 49 49
175 149 49 49
176 149 49 49
177 149 49 49
178 149 49 49
179 149 49 49
180 149 49 49
181 149 49 49
182 149 49 49
183 149 49 49
184 149 49 49
185 149 49 49
186 149 49 49
187 149 49 49
188 149 49 49
189 149 49 49
190 149 49 49
191 149 49 49
192 149 49 49
193 149 49 49
194 149 49 49
195 149 49 49
196 149 36 36
197 149 36 36
198 149 36 36
199 149 36 36
200 149 36 36
201 149 36 36
202 149 36 36
203 149 36 36
204 149 36 36
205 149 36 36
206 149 36 36
207 149 36 36
208 149 36 36
209 149 36 36
210 149 36 36
211 149 36 36
212 149 36 36
213 149 36 36
214 149 27 27
215 149 27 27
216 149 36 36
217 149 27 27
218 149 27 27
219 149 27 27
220 149 27 27
221 149 27 27
222 149 36 36
223 149 36 36
224 149 36 36
225 149 36 36
226 149 36 36
227 149 36 36
228 149 27 27
229 149 27 27
230 149 27 27
231 149 27 27
232 149 27 27
233 149 27 27
241 149 27 27
242 149 27 27
243 149 27 27
244 149 27 27
245 149 27 27
249 149 27 27
250 149 27 27
251 149 27 27
252 149 27 27
253 149 27 27
254 149 27 27
255 149 27 27
256 149 27 27
257 149 27 27
258 149 27 27
259 149 27 27
260 149 27 27
261 149 27 27
262 149 24 24
263 149 24 24
264 149 24 24
265 149 24 24
266 149 24 24
267 149 24 24
268 149 24 24
269 149 24 24
270 149 24 24
271 149 24 24
272 149 24 24
273 149 24 24
274 149 24 24
275 149 24 24
276 149 24 24
277 149 24 24
278 149 24 24
279 149 24 24
280 149 26 26
281 149 26 26
282 149 26 26
283 149 26 26
284 149 26 26
285 149 26 26
286 149 26 26
287 149 26 26
288 149 26 26
289 149 26 26
290 149 26 26
291 149 26 26
292 149 26 26
293 149 26 26
163 150 49 49
164 150 49 49
167 150 49 49
169 150 49 49
170 150 49 49
172 150 49 49
173 150 49 49
174 150 49 49
175 150 49 49
176 150 49 49
177 150 49 49
178 150 49 49
179 150 49 49
180 150 49 49
181 150 49 49
182 150 49 49
183 150 49 49
184 150 49 49
185 150 49 49
186 150 49 49
187 150 49 49
188 150 49 49
189 150 49 49
190 150 36 36
191 150 36 36
192 150 36 36
193 150 36 36
194 150 36 36
195 150 49 49
196 150 49 49
197 150 36 36
198 150 36 36
199 150 36 36
200 150 36 36
201 150 36 36
202 150 36 36
203 150 36 36
204 150 36 36
205 150 36 36
206 150 36 36
207 150 36 36
208 150 36 36
209 150 36 36
210 150 36 36
211 150 36 36
212 150 27 27
213 150 27 27
214 150 27 27
215 150 27 27
216 150 27 27
217 150 27 27
218 150 27 27
219 150 27 27
220 150 27 27
221 150 27 27
222 150 27 27
223 150 36 36
224 150 36 36
225 150 27 27
226 150 27 27
227 150 27 27
228 150 27 27
229 150 27 27
230 150 27 27
231 150 27 27
240 150 27 27
241 150 27 27
242 150 27 27
243 150 27 27
244 150 27 27
245 150 27 27
246 150 27 27
247 150 27 27
248 150 27 27
249 150 27 27
250 150 27 27
252 150 27 27
254 150 27 27
255 150 27 27
256 150 27 27
257 150 27 27
258 150 27 27
259 150 27 27
260 150 27 27
261 150 27 27
262 150 27 27
263 150 27 27
264 150 24 24
265 150 24 24
266 150 24 24
267 150 24 24
268 150 24 24
269 150 24 24
270 150 24 24
271 150 24 24
272 150 24 24
273 150 24 24
274 150 24 24
276 150 24 24
277 150 24 24
278 150 24 24
279 150 24 24
280 150 24 24
281 150 26 26
282 150 26 26
283 150 24 24
284 150 24 24
285 150 26 26
287 150 26 26
289 150 26 26
290 150 26 26
291 150 26 26
294 150 26 26
295 150 26 26
163 151 49 49
164 151 49 49
165 151 49 49
166 151 49 49
167 151 49 49
169 151 49 49
170 151 49 49
173 151 49 49
174 151 49 49
176 151 49 49
177 151 49 49
178 151 49 49
179 151 49 49
182 151 49 49
183 151 49 49
184 151 49 49
185 151 49 49
186 151 49 49
187 151 49 49
188 151 49 49
189 151 49 49
190 151 36 36
191 151 36 36
192 151 36 36
193 151 36 36
194 151 36 36
195 151 49 49
196 151 49 49
197 151 49 49
198 151 36 36
199 151 36 36
200 151 36 36
201 151 36 36
202 151 36 36
203 151 36 36
208 151 36 36
209 151 36 36
210 151 36 36
211 151 36 36
212 151 27 27
213 151 27 27
214 151 27 27
215 151 27 27
216 151 27 27
217 151 27 27
218 151 27 27
219 151 27 27
220 151 27 27
221 151 27 27
222 151 27 27
223 151 27 27
224 151 27 27
225 151 27 27
226 151 27 27
227 151 27 27
228 151 27 27
229 151 27 27
230 151 27 27
231 151 27 27
236 151 27 27
237 151 27 27
238 151 27 27
239 151 27 27
240 151 27 27
241 151 27 27
242 151 27 27
243 151 27 27
244 151 27 27
245 151 27 27
246 151 27 27
247 151 27 27
248 151 27 27
249 151 27 27
250 151 27 27
251 151 27 27
252 151 27 27
253 151 27 27
254 151 24 24
255 151 24 24
256 151 27 27
259 151 27 27
260 151 27 27
261 151 27 27
262 151 27 27
263 151 27 27
264 151 24 24
265 151 24 24
266 151 24 24
267 151 24 24
268 151 24 24
269 151 24 24
270 151 24 24
271 151 24 24
272 151 24 24
278 151 24 24
279 151 24 24
280 151 24 24
281 151 26 26
282 151 26 26
283 151 24 24
284 151 24 24
285 151 26 26
287 151 26 26
290 151 26 26
291 151 26 26
294 151 26 26
295 151 26 26
162 152 49 49
163 152 49 49
164 152 49 49
165 152 49 49
166 152 49 49
167 152 49 49
168 152 49 49
169 152 49 49
170 152 49 49
171 152 49 49
172 152 49 49
173 152 49 49
174 152 49 49
175 152 49 49
176 152 49 49
177 152 49 49
178 152 49 49
179 152 49 49
180 152 49 49
181 152 49 49
182 152 49 49
183 152 49 49
184 152 49 49
185 152 49 49
186 152 36 36
187 152 36 36
188 152 36 36
189 152 36 36
190 152 36 36
191 152 36 36
192 152 36 36
193 152 36 36
195 152 36 36
196 152 36 36
197 152 36 36
198 152 36 36
199 152 36 36
203 152 36 36
204 152 36 36
205 152 36 36
208 152 36 36
209 152 36 36
210 152 36 36
211 152 36 36
212 152 36 36
213 152 27 27
214 152 27 27
215 152 27 27
216 152 27 27
