474 481 321
127 1 41 41
128 1 41 41
38 3 81 81
37 4 81 81
38 4 81 81
37 5 81 81
162 7 18 18
17 8 47 47
162 8 18 18
451 8 0 0
452 8 0 0
17 9 47 47
18 9 47 47
411 9 32 32
452 9 0 0
410 10 32 32
411 10 32 32
189 14 25 25
291 14 53 53
292 14 53 53
189 15 25 25
273 15 24 24
273 16 24 24
366 16 8 8
367 16 8 8
368 16 8 8
273 17 24 24
367 17 8 8
368 17 8 8
369 17 8 8
368 18 8 8
471 23 46 46
472 23 46 46
355 25 15 15
355 26 15 15
112 29 56 56
113 29 56 56
140 29 63 63
141 29 63 63
113 30 56 56
140 30 63 63
94 31 71 71
216 31 57 57
94 32 71 71
216 32 57 57
446 32 79 79
446 33 79 79
447 33 79 79
447 34 79 79
172 35 11 11
173 35 11 11
172 36 11 11
158 63 16 16
158 64 16 16
395 71 89 89
395 72 89 89
396 72 89 89
115 76 94 94
116 76 94 94
238 78 93 93
238 79 93 93
239 79 93 93
238 80 93 93
172 81 40 40
173 81 40 40
65 84 14 14
64 85 14 14
65 85 14 14
270 92 28 28
271 92 28 28
269 93 28 28
270 93 28 28
6 95 97 97
6 96 97 97
7 96 97 97
462 96 23 23
462 97 23 23
305 98 39 39
347 98 48 48
348 98 48 48
462 98 23 23
305 99 39 39
462 99 23 23
460 100 23 23
461 100 23 23
462 100 23 23
460 101 23 23
120 102 86 86
120 103 86 86
141 114 27 27
141 115 27 27
96 122 64 64
97 122 64 64
98 122 64 64
99 122 64 64
345 122 51 51
346 122 51 51
98 123 64 64
99 123 64 64
344 123 51 51
345 123 51 51
96 124 64 64
97 124 64 64
98 124 64 64
345 124 51 51
95 125 64 64
96 125 64 64
97 125 64 64
94 126 64 64
95 126 64 64
94 127 64 64
397 128 68 68
397 129 68 68
139 132 70 70
140 132 70 70
141 132 70 70
16 134 59 59
16 135 59 59
17 135 59 59
449 137 99 99
449 138 99 99
448 139 99 99
449 139 99 99
450 139 99 99
450 140 99 99
364 143 62 62
365 143 62 62
366 143 62 62
101 147 67 67
206 147 76 76
101 148 67 67
206 148 76 76
101 149 67 67
101 150 67 67
191 150 7 7
192 150 7 7
100 151 67 67
101 151 67 67
102 151 67 67
100 152 67 67
101 152 67 67
101 153 67 67
101 154 67 67
153 160 65 65
153 161 65 65
155 161 65 65
83 162 49 49
84 162 49 49
85 162 49 49
86 162 49 49
152 162 65 65
153 162 65 65
154 162 65 65
155 162 65 65
84 163 49 49
86 163 49 49
152 163 65 65
85 164 49 49
86 164 49 49
152 164 65 65
85 165 49 49
17 170 9 9
16 171 9 9
17 171 9 9
275 173 26 26
264 174 92 92
265 174 92 92
275 174 26 26
113 175 96 96
265 175 92 92
274 175 26 26
275 175 26 26
104 176 96 96
105 176 96 96
112 176 96 96
113 176 96 96
114 176 96 96
272 176 26 26
273 176 26 26
274 176 26 26
276 176 26 26
278 176 26 26
339 176 77 77
104 177 96 96
105 177 96 96
106 177 96 96
107 177 96 96
108 177 96 96
109 177 96 96
110 177 96 96
111 177 96 96
112 177 96 96
113 177 96 96
114 177 96 96
273 177 26 26
274 177 26 26
275 177 26 26
276 177 26 26
277 177 26 26
278 177 26 26
339 177 77 77
104 178 96 96
105 178 96 96
106 178 96 96
107 178 96 96
108 178 96 96
109 178 96 96
110 178 96 96
111 178 96 96
112 178 96 96
113 178 96 96
114 178 96 96
274 178 26 26
275 178 26 26
276 178 26 26
277 178 26 26
339 178 77 77
400 178 75 75
104 179 96 96
105 179 96 96
106 179 96 96
107 179 96 96
108 179 96 96
109 179 96 96
110 179 96 96
111 179 96 96
112 179 96 96
113 179 96 96
114 179 96 96
276 179 26 26
399 179 75 75
400 179 75 75
104 180 96 96
105 180 96 96
109 180 96 96
110 180 96 96
112 180 96 96
113 180 96 96
114 180 96 96
276 180 26 26
278 180 26 26
106 181 96 96
107 181 96 96
108 181 96 96
109 181 96 96
113 181 96 96
114 181 96 96
274 181 26 26
275 181 26 26
276 181 26 26
277 181 26 26
278 181 26 26
106 182 96 96
107 182 96 96
108 182 96 96
274 182 26 26
275 182 26 26
277 182 26 26
278 182 26 26
104 183 96 96
105 183 96 96
106 183 96 96
107 183 96 96
108 183 96 96
109 183 96 96
110 183 96 96
111 183 96 96
274 183 26 26
275 183 26 26
276 183 26 26
277 183 26 26
278 183 26 26
106 184 96 96
107 184 96 96
277 184 26 26
278 184 26 26
290 184 74 74
291 184 74 74
292 184 74 74
431 184 37 37
432 184 37 37
107 185 96 96
108 185 96 96
109 185 96 96
276 185 26 26
277 185 26 26
290 185 74 74
431 185 37 37
432 185 37 37
433 185 37 37
108 186 96 96
109 186 96 96
275 186 26 26
276 186 26 26
277 186 26 26
278 186 26 26
279 186 26 26
108 187 96 96
109 187 96 96
110 187 96 96
112 187 96 96
113 187 96 96
275 187 26 26
276 187 26 26
277 187 26 26
278 187 26 26
373 187 90 90
374 187 90 90
110 188 96 96
111 188 96 96
112 188 96 96
274 188 26 26
275 188 26 26
276 188 26 26
373 188 90 90
111 189 96 96
156 189 19 19
275 189 26 26
156 190 19 19
157 190 19 19
158 190 19 19
157 191 19 19
158 191 19 19
62 193 21 21
62 194 21 21
165 197 60 60
165 198 60 60
165 199 60 60
39 200 52 52
96 200 58 58
97 200 58 58
98 200 58 58
165 200 60 60
38 201 52 52
39 201 52 52
97 201 58 58
98 201 58 58
165 201 60 60
39 202 52 52
309 205 2 2
310 205 2 2
348 207 4 4
348 208 4 4
3 209 85 85
4 209 85 85
5 209 85 85
2 210 85 85
3 210 85 85
328 210 29 29
329 210 29 29
44 219 45 45
292 219 78 78
293 219 78 78
294 219 78 78
19 220 43 43
20 220 43 43
44 220 45 45
135 220 31 31
18 221 43 43
19 221 43 43
20 221 43 43
44 221 45 45
135 221 31 31
135 222 31 31
136 222 31 31
233 222 72 72
134 223 31 31
135 223 31 31
201 223 42 42
232 223 72 72
233 223 72 72
234 223 72 72
200 224 42 42
201 224 42 42
233 224 72 72
329 225 82 82
329 226 82 82
456 226 35 35
272 227 80 80
273 227 80 80
456 227 35 35
456 228 35 35
182 229 5 5
183 229 5 5
183 230 5 5
184 230 5 5
184 231 5 5
118 236 84 84
118 237 84 84
119 237 84 84
119 238 84 84
120 238 84 84
119 239 84 84
120 239 84 84
120 240 84 84
450 242 38 38
451 242 38 38
452 242 38 38
44 243 73 73
167 243 20 20
168 243 20 20
452 243 38 38
44 244 73 73
195 244 66 66
196 244 66 66
343 249 54 54
21 250 30 30
255 250 33 33
343 250 54 54
21 251 30 30
255 251 33 33
121 254 1 1
122 254 1 1
378 254 95 95
379 254 95 95
378 255 95 95
379 255 95 95
378 256 95 95
379 256 95 95
103 259 10 10
103 260 10 10
267 264 87 87
178 265 6 6
265 265 87 87
266 265 87 87
267 265 87 87
268 265 87 87
178 266 6 6
56 270 50 50
356 270 69 69
357 270 69 69
358 270 69 69
359 270 69 69
56 271 50 50
210 271 34 34
210 272 34 34
211 272 34 34
209 273 34 34
210 273 34 34
262 276 88 88
262 277 88 88
429 284 3 3
430 284 3 3
315 285 44 44
316 285 44 44
18 287 98 98
17 288 98 98
18 288 98 98
336 291 17 17
337 291 17 17
132 292 12 12
133 292 12 12
133 293 12 12
134 293 12 12
135 293 12 12
136 293 12 12
295 299 22 22
296 299 22 22
79 303 61 61
80 303 61 61
184 312 13 13
185 312 13 13
216 315 91 91
217 315 91 91
216 316 91 91
217 316 91 91
312 318 55 55
312 319 55 55
421 319 83 83
450 319 36 36
451 319 36 36
421 320 83 83
450 320 36 36
451 320 36 36
