36445 321 481
16 0 23 23
17 0 23 23
18 0 23 23
19 0 23 23
20 0 23 23
21 0 23 23
22 0 23 23
23 0 23 23
24 0 23 23
25 0 23 23
30 0 23 23
31 0 23 23
32 0 23 23
33 0 23 23
34 0 23 23
35 0 23 23
36 0 23 23
37 0 23 23
38 0 23 23
39 0 23 23
40 0 23 23
41 0 23 23
42 0 23 23
43 0 23 23
44 0 23 23
45 0 23 23
46 0 23 23
47 0 23 23
48 0 23 23
49 0 23 23
50 0 23 23
51 0 23 23
52 0 23 23
53 0 23 23
54 0 23 23
55 0 23 23
56 0 23 23
57 0 23 23
58 0 23 23
59 0 23 23
60 0 23 23
61 0 23 23
62 0 23 23
63 0 23 23
64 0 23 23
65 0 23 23
66 0 23 23
67 0 23 23
68 0 23 23
69 0 23 23
70 0 23 23
71 0 23 23
79 0 23 23
80 0 23 23
81 0 23 23
82 0 23 23
83 0 23 23
84 0 23 23
88 0 23 23
89 0 23 23
90 0 23 23
92 0 23 23
94 0 23 23
95 0 23 23
96 0 23 23
106 0 23 23
108 0 23 23
112 0 23 23
113 0 23 23
114 0 23 23
119 0 23 23
120 0 23 23
16 1 23 23
17 1 23 23
18 1 23 23
19 1 23 23
20 1 23 23
21 1 23 23
22 1 23 23
23 1 23 23
24 1 23 23
25 1 23 23
26 1 23 23
29 1 23 23
30 1 23 23
31 1 23 23
32 1 23 23
33 1 23 23
34 1 23 23
35 1 23 23
36 1 23 23
37 1 23 23
38 1 23 23
39 1 23 23
40 1 23 23
41 1 23 23
42 1 23 23
43 1 23 23
44 1 23 23
45 1 23 23
46 1 23 23
47 1 23 23
48 1 23 23
49 1 23 23
50 1 23 23
51 1 23 23
52 1 23 23
53 1 23 23
54 1 23 23
55 1 23 23
56 1 23 23
57 1 23 23
58 1 23 23
59 1 23 23
60 1 23 23
61 1 23 23
62 1 23 23
63 1 23 23
64 1 23 23
65 1 23 23
66 1 23 23
67 1 23 23
68 1 23 23
69 1 23 23
70 1 23 23
71 1 23 23
72 1 23 23
79 1 23 23
80 1 23 23
81 1 23 23
82 1 23 23
83 1 23 23
84 1 23 23
85 1 23 23
88 1 23 23
89 1 23 23
90 1 23 23
92 1 23 23
94 1 23 23
95 1 23 23
96 1 23 23
97 1 23 23
100 1 23 23
101 1 23 23
103 1 23 23
105 1 23 23
106 1 23 23
108 1 23 23
109 1 23 23
111 1 23 23
112 1 23 23
113 1 23 23
114 1 23 23
115 1 23 23
119 1 23 23
120 1 23 23
122 1 23 23
123 1 23 23
132 1 23 23
135 1 23 23
136 1 23 23
137 1 23 23
138 1 23 23
150 1 23 23
152 1 23 23
153 1 23 23
155 1 23 23
156 1 23 23
157 1 23 23
158 1 23 23
163 1 23 23
164 1 23 23
165 1 23 23
184 1 23 23
186 1 23 23
187 1 23 23
188 1 23 23
190 1 23 23
191 1 23 23
192 1 23 23
206 1 23 23
13 2 23 23
14 2 23 23
16 2 23 23
17 2 23 23
18 2 23 23
19 2 23 23
20 2 23 23
21 2 23 23
22 2 23 23
23 2 23 23
24 2 23 23
25 2 23 23
26 2 23 23
27 2 23 23
28 2 23 23
29 2 23 23
30 2 23 23
31 2 23 23
32 2 23 23
33 2 23 23
34 2 23 23
35 2 23 23
36 2 23 23
37 2 23 23
38 2 23 23
39 2 23 23
40 2 23 23
41 2 23 23
42 2 23 23
43 2 23 23
44 2 23 23
45 2 23 23
46 2 23 23
47 2 23 23
48 2 23 23
49 2 23 23
50 2 23 23
51 2 23 23
52 2 23 23
53 2 23 23
54 2 23 23
55 2 23 23
56 2 23 23
57 2 23 23
58 2 23 23
59 2 23 23
60 2 23 23
61 2 23 23
62 2 23 23
63 2 23 23
64 2 23 23
65 2 23 23
66 2 23 23
67 2 23 23
68 2 23 23
69 2 23 23
70 2 23 23
71 2 23 23
79 2 23 23
80 2 23 23
81 2 23 23
82 2 23 23
83 2 23 23
84 2 23 23
85 2 23 23
86 2 23 23
87 2 23 23
88 2 23 23
89 2 23 23
90 2 23 23
92 2 23 23
93 2 23 23
94 2 23 23
101 2 23 23
102 2 23 23
103 2 23 23
104 2 23 23
105 2 23 23
106 2 23 23
109 2 23 23
110 2 23 23
112 2 23 23
115 2 23 23
