5896 481 321
13 0 9 9
14 0 9 9
100 0 99 99
101 0 99 99
102 0 99 99
103 0 99 99
104 0 99 99
105 0 99 99
117 0 99 99
118 0 99 99
137 0 99 99
138 0 99 99
139 0 99 99
140 0 99 99
148 0 99 99
149 0 99 99
162 0 99 99
163 0 99 99
164 0 99 99
166 0 99 99
169 0 99 99
170 0 99 99
171 0 99 99
172 0 99 99
173 0 99 99
190 0 43 43
192 0 43 43
193 0 43 43
194 0 43 43
195 0 43 43
196 0 43 43
197 0 43 43
198 0 43 43
202 0 43 43
203 0 43 43
208 0 43 43
209 0 43 43
210 0 43 43
211 0 43 43
212 0 43 43
213 0 43 43
214 0 43 43
216 0 43 43
217 0 43 43
218 0 43 43
219 0 43 43
220 0 43 43
221 0 43 43
13 1 9 9
14 1 9 9
17 1 9 9
18 1 9 9
84 1 99 99
85 1 99 99
86 1 99 99
87 1 99 99
100 1 99 99
101 1 99 99
102 1 99 99
103 1 99 99
104 1 99 99
105 1 99 99
114 1 99 99
117 1 99 99
118 1 99 99
137 1 99 99
139 1 99 99
140 1 99 99
141 1 99 99
142 1 99 99
148 1 99 99
149 1 99 99
150 1 99 99
161 1 99 99
162 1 99 99
163 1 99 99
164 1 99 99
166 1 99 99
169 1 99 99
170 1 99 99
171 1 99 99
172 1 99 99
173 1 99 99
190 1 43 43
191 1 43 43
193 1 43 43
194 1 43 43
195 1 43 43
198 1 43 43
199 1 43 43
203 1 43 43
204 1 43 43
205 1 43 43
206 1 43 43
207 1 43 43
208 1 43 43
209 1 43 43
210 1 43 43
211 1 43 43
212 1 43 43
213 1 43 43
214 1 43 43
215 1 43 43
216 1 43 43
217 1 43 43
218 1 43 43
219 1 43 43
220 1 43 43
221 1 43 43
341 1 51 51
13 2 9 9
17 2 9 9
18 2 9 9
83 2 99 99
84 2 99 99
85 2 99 99
86 2 99 99
87 2 99 99
96 2 99 99
97 2 99 99
98 2 99 99
99 2 99 99
100 2 99 99
101 2 99 99
102 2 99 99
103 2 99 99
104 2 99 99
105 2 99 99
114 2 99 99
116 2 99 99
117 2 99 99
118 2 99 99
137 2 99 99
142 2 99 99
144 2 99 99
147 2 99 99
148 2 99 99
149 2 99 99
150 2 99 99
158 2 99 99
160 2 99 99
161 2 99 99
162 2 99 99
163 2 99 99
164 2 99 99
165 2 99 99
166 2 99 99
168 2 99 99
169 2 99 99
171 2 99 99
172 2 99 99
173 2 99 99
190 2 43 43
191 2 43 43
192 2 43 43
193 2 43 43
194 2 43 43
195 2 43 43
198 2 43 43
199 2 43 43
200 2 43 43
201 2 43 43
202 2 43 43
203 2 43 43
204 2 43 43
208 2 43 43
209 2 43 43
210 2 43 43
211 2 43 43
212 2 43 43
213 2 43 43
214 2 43 43
215 2 43 43
216 2 43 43
217 2 43 43
218 2 43 43
219 2 43 43
220 2 43 43
221 2 43 43
222 2 43 43
341 2 51 51
346 2 51 51
13 3 9 9
14 3 9 9
16 3 9 9
17 3 9 9
18 3 9 9
82 3 99 99
83 3 99 99
84 3 99 99
85 3 99 99
86 3 99 99
87 3 99 99
96 3 99 99
97 3 99 99
98 3 99 99
100 3 99 99
101 3 99 99
102 3 99 99
103 3 99 99
105 3 99 99
106 3 99 99
107 3 99 99
108 3 99 99
109 3 99 99
110 3 99 99
111 3 99 99
112 3 99 99
113 3 99 99
114 3 99 99
117 3 99 99
136 3 99 99
137 3 99 99
143 3 99 99
144 3 99 99
147 3 99 99
148 3 99 99
149 3 99 99
152 3 99 99
153 3 99 99
158 3 99 99
159 3 99 99
160 3 99 99
161 3 99 99
162 3 99 99
163 3 99 99
164 3 99 99
165 3 99 99
166 3 99 99
167 3 99 99
168 3 99 99
172 3 99 99
173 3 99 99
189 3 43 43
190 3 43 43
191 3 43 43
195 3 43 43
196 3 43 43
197 3 43 43
198 3 43 43
199 3 43 43
200 3 43 43
201 3 43 43
202 3 43 43
203 3 43 43
204 3 43 43
205 3 43 43
206 3 43 43
207 3 43 43
209 3 43 43
210 3 43 43
211 3 43 43
212 3 43 43
213 3 43 43
214 3 43 43
216 3 43 43
217 3 43 43
218 3 43 43
219 3 43 43
220 3 43 43
221 3 43 43
222 3 43 43
223 3 43 43
341 3 51 51
346 3 51 51
349 3 51 51
11 4 9 9
12 4 9 9
13 4 9 9
14 4 9 9
15 4 9 9
16 4 9 9
17 4 9 9
18 4 9 9
80 4 99 99
81 4 99 99
82 4 99 99
83 4 99 99
84 4 99 99
85 4 99 99
96 4 99 99
97 4 99 99
98 4 99 99
102 4 99 99
103 4 99 99
104 4 99 99
105 4 99 99
106 4 99 99
107 4 99 99
108 4 99 99
109 4 99 99
112 4 99 99
113 4 99 99
114 4 99 99
117 4 99 99
120 4 99 99
127 4 99 99
136 4 99 99
137 4 99 99
138 4 99 99
139 4 99 99
140 4 99 99
144 4 99 99
145 4 99 99
148 4 99 99
149 4 99 99
152 4 99 99
157 4 99 99
158 4 99 99
159 4 99 99
160 4 99 99
161 4 99 99
162 4 99 99
163 4 99 99
164 4 99 99
165 4 99 99
166 4 99 99
167 4 99 99
195 4 43 43
196 4 43 43
197 4 43 43
198 4 43 43
199 4 43 43
200 4 43 43
201 4 43 43
202 4 43 43
203 4 43 43
204 4 43 43
205 4 43 43
209 4 43 43
210 4 43 43
211 4 43 43
212 4 43 43
213 4 43 43
214 4 43 43
216 4 43 43
217 4 43 43
218 4 43 43
219 4 43 43
220 4 43 43
221 4 43 43
222 4 43 43
223 4 43 43
340 4 51 51
341 4 51 51
342 4 51 51
346 4 51 51
349 4 51 51
11 5 9 9
12 5 9 9
13 5 9 9
14 5 9 9
16 5 9 9
17 5 9 9
18 5 9 9
79 5 99 99
80 5 99 99
81 5 99 99
82 5 99 99
83 5 99 99
84 5 99 99
93 5 99 99
94 5 99 99
96 5 99 99
97 5 99 99
98 5 99 99
106 5 99 99
107 5 99 99
108 5 99 99
109 5 99 99
110 5 99 99
112 5 99 99
114 5 99 99
115 5 99 99
116 5 99 99
117 5 99 99
118 5 99 99
120 5 99 99
123 5 99 99
124 5 99 99
127 5 99 99
130 5 99 99
136 5 99 99
137 5 99 99
138 5 99 99
141 5 99 99
142 5 99 99
143 5 99 99
144 5 99 99
145 5 99 99
148 5 99 99
149 5 99 99
152 5 99 99
153 5 99 99
157 5 99 99
158 5 99 99
160 5 99 99
161 5 99 99
162 5 99 99
165 5 99 99
166 5 99 99
194 5 43 43
195 5 43 43
196 5 43 43
197 5 43 43
198 5 43 43
199 5 43 43
200 5 43 43
201 5 43 43
202 5 43 43
203 5 43 43
204 5 43 43
205 5 43 43
206 5 43 43
208 5 43 43
209 5 43 43
210 5 43 43
211 5 43 43
212 5 43 43
213 5 43 43
214 5 43 43
215 5 43 43
216 5 43 43
217 5 43 43
218 5 43 43
219 5 43 43
220 5 43 43
221 5 43 43
222 5 43 43
340 5 51 51
341 5 51 51
342 5 51 51
343 5 51 51
344 5 51 51
346 5 51 51
349 5 51 51
13 6 9 9
15 6 9 9
16 6 9 9
17 6 9 9
18 6 9 9
81 6 99 99
82 6 99 99
83 6 99 99
84 6 99 99
85 6 99 99
91 6 99 99
92 6 99 99
93 6 99 99
96 6 99 99
97 6 99 99
98 6 99 99
99 6 99 99
100 6 99 99
101 6 99 99
102 6 99 99
103 6 99 99
106 6 99 99
107 6 99 99
108 6 99 99
110 6 99 99
111 6 99 99
112 6 99 99
113 6 99 99
114 6 99 99
115 6 99 99
116 6 99 99
118 6 99 99
120 6 99 99
123 6 99 99
124 6 99 99
127 6 99 99
130 6 99 99
131 6 99 99
136 6 99 99
137 6 99 99
138 6 99 99
139 6 99 99
140 6 99 99
141 6 99 99
142 6 99 99
143 6 99 99
144 6 99 99
145 6 99 99
146 6 99 99
147 6 99 99
148 6 99 99
149 6 99 99
152 6 99 99
153 6 99 99
156 6 99 99
157 6 99 99
158 6 99 99
160 6 99 99
161 6 99 99
165 6 99 99
199 6 43 43
200 6 43 43
201 6 43 43
202 6 43 43
203 6 43 43
204 6 43 43
205 6 43 43
206 6 43 43
207 6 43 43
208 6 43 43
209 6 43 43
210 6 43 43
211 6 43 43
212 6 43 43
213 6 43 43
214 6 43 43
215 6 43 43
216 6 43 43
217 6 43 43
218 6 43 43
219 6 43 43
220 6 43 43
221 6 43 43
340 6 51 51
341 6 51 51
342 6 51 51
343 6 51 51
344 6 51 51
346 6 51 51
349 6 51 51
15 7 9 9
16 7 9 9
17 7 9 9
18 7 9 9
82 7 99 99
83 7 99 99
