26900 481 321
153 2 31 31
146 3 31 31
151 3 31 31
153 3 31 31
156 3 31 31
157 3 31 31
146 4 31 31
147 4 31 31
150 4 31 31
151 4 31 31
152 4 31 31
153 4 31 31
154 4 31 31
155 4 31 31
156 4 31 31
143 5 31 31
144 5 31 31
145 5 31 31
146 5 31 31
147 5 31 31
148 5 31 31
149 5 31 31
150 5 31 31
153 5 31 31
140 6 31 31
141 6 31 31
142 6 31 31
143 6 31 31
144 6 31 31
148 6 31 31
149 6 31 31
150 6 31 31
136 7 31 31
137 7 31 31
139 7 31 31
140 7 31 31
141 7 31 31
144 7 31 31
145 7 31 31
146 7 31 31
147 7 31 31
131 8 31 31
132 8 31 31
136 8 31 31
139 8 31 31
140 8 31 31
421 8 3 3
422 8 3 3
132 9 31 31
136 9 31 31
139 9 31 31
140 9 31 31
370 9 40 40
371 9 40 40
373 9 40 40
421 9 3 3
422 9 3 3
423 9 3 3
118 10 31 31
126 10 31 31
127 10 31 31
128 10 31 31
131 10 31 31
132 10 31 31
133 10 31 31
134 10 31 31
135 10 31 31
136 10 31 31
137 10 31 31
138 10 31 31
139 10 31 31
140 10 31 31
141 10 31 31
370 10 40 40
371 10 40 40
372 10 40 40
373 10 40 40
423 10 3 3
424 10 3 3
425 10 3 3
426 10 3 3
427 10 3 3
113 11 31 31
114 11 31 31
118 11 31 31
119 11 31 31
120 11 31 31
121 11 31 31
122 11 31 31
123 11 31 31
124 11 31 31
125 11 31 31
126 11 31 31
127 11 31 31
128 11 31 31
129 11 31 31
130 11 31 31
131 11 31 31
132 11 31 31
133 11 31 31
134 11 31 31
141 11 31 31
142 11 31 31
159 11 57 57
160 11 57 57
161 11 57 57
362 11 40 40
373 11 40 40
423 11 3 3
425 11 3 3
426 11 3 3
427 11 3 3
428 11 3 3
111 12 31 31
112 12 31 31
113 12 31 31
121 12 31 31
122 12 31 31
123 12 31 31
124 12 31 31
126 12 31 31
127 12 31 31
128 12 31 31
129 12 31 31
134 12 31 31
135 12 31 31
136 12 31 31
137 12 31 31
138 12 31 31
139 12 31 31
140 12 31 31
141 12 31 31
142 12 31 31
143 12 31 31
155 12 57 57
156 12 57 57
157 12 57 57
158 12 57 57
159 12 57 57
160 12 57 57
161 12 57 57
162 12 57 57
163 12 57 57
319 12 63 63
320 12 63 63
321 12 63 63
361 12 40 40
362 12 40 40
373 12 40 40
420 12 3 3
423 12 3 3
427 12 3 3
428 12 3 3
429 12 3 3
111 13 31 31
112 13 31 31
115 13 31 31
118 13 31 31
121 13 31 31
122 13 31 31
123 13 31 31
124 13 31 31
126 13 31 31
127 13 31 31
129 13 31 31
130 13 31 31
133 13 31 31
134 13 31 31
135 13 31 31
136 13 31 31
137 13 57 57
138 13 57 57
139 13 31 31
140 13 31 31
155 13 57 57
157 13 57 57
158 13 57 57
159 13 57 57
160 13 57 57
164 13 57 57
318 13 63 63
319 13 63 63
320 13 63 63
321 13 63 63
322 13 63 63
361 13 40 40
362 13 40 40
363 13 40 40
373 13 40 40
420 13 3 3
423 13 3 3
427 13 3 3
428 13 3 3
111 14 31 31
112 14 31 31
113 14 31 31
114 14 31 31
115 14 31 31
116 14 31 31
117 14 31 31
118 14 31 31
119 14 31 31
121 14 31 31
122 14 31 31
123 14 31 31
124 14 31 31
126 14 31 31
127 14 31 31
128 14 31 31
135 14 31 31
136 14 57 57
137 14 57 57
138 14 57 57
139 14 31 31
155 14 57 57
156 14 57 57
157 14 57 57
158 14 57 57
159 14 57 57
160 14 57 57
161 14 57 57
162 14 57 57
163 14 57 57
164 14 57 57
319 14 63 63
321 14 63 63
322 14 63 63
360 14 40 40
361 14 40 40
363 14 40 40
364 14 40 40
365 14 40 40
366 14 40 40
367 14 40 40
371 14 40 40
372 14 40 40
373 14 40 40
419 14 3 3
420 14 3 3
421 14 3 3
422 14 3 3
423 14 3 3
426 14 3 3
427 14 3 3
428 14 3 3
111 15 31 31
113 15 31 31
114 15 31 31
119 15 31 31
121 15 31 31
123 15 31 31
124 15 31 31
126 15 31 31
128 15 31 31
135 15 31 31
136 15 31 31
137 15 57 57
138 15 57 57
139 15 31 31
140 15 31 31
154 15 57 57
155 15 57 57
156 15 57 57
157 15 57 57
321 15 63 63
322 15 63 63
361 15 40 40
362 15 40 40
363 15 40 40
364 15 40 40
365 15 40 40
368 15 40 40
370 15 40 40
371 15 40 40
372 15 40 40
373 15 40 40
380 15 40 40
383 15 40 40
384 15 40 40
419 15 3 3
426 15 3 3
427 15 3 3
428 15 3 3
429 15 3 3
111 16 31 31
113 16 31 31
114 16 31 31
119 16 31 31
120 16 31 31
121 16 31 31
124 16 31 31
125 16 31 31
135 16 57 57
136 16 57 57
137 16 57 57
138 16 57 57
139 16 57 57
140 16 57 57
152 16 57 57
153 16 57 57
154 16 57 57
322 16 63 63
323 16 63 63
364 16 40 40
365 16 40 40
366 16 40 40
367 16 40 40
368 16 40 40
369 16 40 40
370 16 40 40
380 16 40 40
381 16 40 40
382 16 40 40
383 16 40 40
419 16 3 3
420 16 3 3
421 16 3 3
422 16 3 3
426 16 3 3
427 16 3 3
428 16 3 3
429 16 3 3
430 16 3 3
111 17 31 31
113 17 31 31
114 17 31 31
117 17 31 31
118 17 31 31
119 17 31 31
120 17 31 31
121 17 31 31
122 17 31 31
123 17 31 31
124 17 31 31
127 17 31 31
134 17 57 57
138 17 57 57
139 17 57 57
140 17 57 57
141 17 57 57
145 17 57 57
146 17 57 57
151 17 57 57
152 17 57 57
153 17 57 57
154 17 57 57
155 17 57 57
156 17 57 57
157 17 57 57
158 17 57 57
322 17 63 63
323 17 63 63
324 17 63 63
325 17 63 63
363 17 40 40
364 17 40 40
365 17 40 40
366 17 40 40
368 17 40 40
371 17 40 40
372 17 40 40
373 17 40 40
374 17 40 40
377 17 40 40
378 17 40 40
379 17 40 40
381 17 40 40
382 17 40 40
383 17 40 40
419 17 3 3
420 17 3 3
422 17 3 3
424 17 3 3
425 17 3 3
426 17 3 3
427 17 3 3
429 17 3 3
430 17 3 3
431 17 3 3
112 18 31 31
113 18 31 31
114 18 31 31
117 18 31 31
118 18 31 31
119 18 31 31
120 18 31 31
121 18 31 31
123 18 31 31
124 18 31 31
125 18 31 31
126 18 31 31
127 18 31 31
128 18 31 31
129 18 31 31
130 18 57 57
131 18 57 57
132 18 57 57
133 18 57 57
134 18 57 57
139 18 57 57
140 18 57 57
141 18 57 57
142 18 57 57
144 18 57 57
145 18 57 57
150 18 57 57
151 18 57 57
154 18 57 57
155 18 57 57
156 18 57 57
157 18 57 57
158 18 57 57
323 18 63 63
324 18 63 63
325 18 63 63
368 18 40 40
371 18 40 40
372 18 40 40
373 18 40 40
374 18 40 40
375 18 40 40
377 18 40 40
378 18 40 40
379 18 40 40
381 18 40 40
382 18 40 40
383 18 40 40
416 18 3 3
417 18 3 3
418 18 3 3
419 18 3 3
420 18 3 3
421 18 3 3
422 18 3 3
424 18 3 3
425 18 3 3
426 18 3 3
427 18 3 3
428 18 3 3
429 18 3 3
430 18 3 3
431 18 3 3
433 18 3 3
114 19 31 31
115 19 31 31
118 19 31 31
119 19 31 31
120 19 31 31
121 19 31 31
124 19 31 31
125 19 31 31
126 19 57 57
127 19 57 57
128 19 31 31
129 19 31 31
130 19 57 57
131 19 57 57
132 19 57 57
133 19 57 57
134 19 57 57
136 19 57 57
137 19 57 57
139 19 57 57
142 19 57 57
144 19 57 57
145 19 57 57
147 19 57 57
148 19 57 57
149 19 57 57
150 19 57 57
151 19 57 57
154 19 57 57
155 19 57 57
249 19 24 24
311 19 63 63
312 19 63 63
323 19 63 63
324 19 63 63
325 19 63 63
368 19 40 40
369 19 40 40
370 19 40 40
371 19 40 40
372 19 40 40
373 19 40 40
374 19 40 40
375 19 40 40
376 19 40 40
379 19 40 40
380 19 40 40
381 19 40 40
382 19 40 40
383 19 40 40
384 19 40 40
385 19 40 40
418 19 3 3
419 19 3 3
420 19 3 3
421 19 3 3
422 19 3 3
424 19 3 3
425 19 3 3
426 19 3 3
429 19 3 3
430 19 3 3
431 19 3 3
432 19 3 3
433 19 3 3
434 19 3 3
113 20 31 31
114 20 31 31
115 20 31 31
118 20 31 31
119 20 31 31
121 20 31 31
122 20 31 31
123 20 31 31
124 20 31 31
125 20 31 31
126 20 57 57
127 20 57 57
128 20 57 57
129 20 57 57
130 20 57 57
131 20 57 57
132 20 57 57
133 20 57 57
134 20 57 57
135 20 57 57
137 20 57 57
138 20 57 57
139 20 57 57
142 20 57 57
144 20 57 57
147 20 57 57
149 20 57 57
150 20 57 57
248 20 24 24
249 20 24 24
312 20 63 63
313 20 63 63
322 20 63 63
323 20 63 63
324 20 63 63
325 20 63 63
326 20 63 63
368 20 40 40
369 20 40 40
370 20 40 40
371 20 40 40
372 20 40 40
373 20 40 40
374 20 40 40
375 20 40 40
376 20 40 40
379 20 40 40
380 20 40 40
381 20 40 40
382 20 40 40
383 20 40 40
384 20 40 40
419 20 3 3
421 20 3 3
422 20 3 3
424 20 3 3
425 20 3 3
426 20 3 3
427 20 3 3
428 20 3 3
429 20 3 3
430 20 3 3
431 20 3 3
433 20 3 3
434 20 3 3
118 21 31 31
124 21 31 31
125 21 31 31
126 21 31 31
127 21 57 57
128 21 57 57
129 21 57 57
131 21 57 57
132 21 57 57
133 21 57 57
134 21 57 57
137 21 57 57
138 21 57 57
139 21 57 57
140 21 57 57
142 21 57 57
143 21 57 57
144 21 57 57
145 21 57 57
146 21 57 57
147 21 57 57
150 21 57 57
152 21 57 57
248 21 24 24
249 21 24 24
250 21 24 24
251 21 24 24
252 21 24 24
253 21 24 24
313 21 63 63
314 21 63 63
315 21 63 63
322 21 63 63
323 21 63 63
324 21 63 63
325 21 63 63
326 21 63 63
366 21 40 40
367 21 40 40
368 21 40 40
371 21 40 40
372 21 40 40
373 21 40 40
374 21 40 40
375 21 40 40
376 21 40 40
379 21 40 40
380 21 40 40
421 21 3 3
422 21 3 3
423 21 3 3
424 21 3 3
425 21 3 3
426 21 3 3
427 21 3 3
428 21 3 3
429 21 3 3
430 21 3 3
431 21 3 3
124 22 31 31
125 22 31 31
126 22 57 57
127 22 57 57
131 22 57 57
132 22 57 57
133 22 57 57
134 22 57 57
135 22 57 57
136 22 57 57
137 22 57 57
140 22 57 57
141 22 57 57
142 22 57 57
143 22 57 57
145 22 57 57
146 22 57 57
147 22 57 57
148 22 57 57
149 22 57 57
150 22 57 57
151 22 57 57
152 22 57 57
153 22 57 57
154 22 57 57
248 22 24 24
249 22 24 24
253 22 24 24
254 22 24 24
255 22 24 24
314 22 63 63
315 22 63 63
316 22 63 63
326 22 63 63
365 22 40 40
366 22 40 40
368 22 40 40
371 22 40 40
372 22 40 40
373 22 40 40
374 22 40 40
375 22 40 40
376 22 40 40
379 22 40 40
380 22 40 40
423 22 3 3
428 22 3 3
115 23 57 57
116 23 57 57
123 23 31 31
124 23 31 31
125 23 31 31
126 23 31 31
127 23 57 57
128 23 57 57
131 23 57 57
132 23 57 57
133 23 57 57
141 23 57 57
142 23 57 57
144 23 57 57
145 23 57 57
150 23 57 57
151 23 57 57
152 23 57 57
241 23 24 24
248 23 24 24
254 23 24 24
314 23 63 63
315 23 63 63
316 23 63 63
317 23 63 63
318 23 63 63
319 23 63 63
320 23 63 63
321 23 63 63
325 23 63 63
326 23 63 63
327 23 63 63
328 23 63 63
329 23 63 63
368 23 40 40
373 23 40 40
374 23 40 40
375 23 40 40
376 23 40 40
379 23 40 40
382 23 40 40
383 23 40 40
385 23 40 40
426 23 3 3
427 23 3 3
428 23 3 3
429 23 3 3
430 23 3 3
432 23 3 3
433 23 3 3
115 24 57 57
116 24 57 57
118 24 31 31
125 24 31 31
126 24 31 31
133 24 57 57
135 24 57 57
139 24 57 57
142 24 57 57
148 24 57 57
149 24 57 57
150 24 57 57
152 24 57 57
153 24 57 57
154 24 57 57
155 24 57 57
156 24 57 57
157 24 57 57
228 24 24 24
229 24 24 24
230 24 24 24
231 24 24 24
241 24 24 24
248 24 24 24
249 24 24 24
250 24 24 24
277 24 63 63
278 24 63 63
279 24 63 63
280 24 63 63
314 24 63 63
318 24 63 63
321 24 63 63
322 24 63 63
323 24 63 63
324 24 63 63
325 24 63 63
326 24 63 63
327 24 63 63
376 24 40 40
377 24 40 40
378 24 40 40
379 24 40 40
382 24 40 40
383 24 40 40
385 24 40 40
386 24 40 40
387 24 40 40
393 24 40 40
411 24 5 5
412 24 5 5
413 24 5 5
428 24 3 3
429 24 3 3
430 24 3 3
431 24 3 3
433 24 3 3
115 25 57 57
116 25 57 57
117 25 31 31
118 25 31 31
122 25 31 31
124 25 31 31
125 25 31 31
129 25 57 57
130 25 57 57
131 25 57 57
132 25 57 57
133 25 57 57
134 25 57 57
135 25 57 57
137 25 57 57
138 25 57 57
139 25 57 57
140 25 57 57
141 25 57 57
142 25 57 57
143 25 57 57
144 25 57 57
154 25 57 57
155 25 57 57
156 25 57 57
227 25 24 24
228 25 24 24
229 25 24 24
230 25 24 24
231 25 24 24
232 25 24 24
236 25 24 24
237 25 24 24
240 25 24 24
241 25 24 24
242 25 24 24
248 25 24 24
276 25 63 63
277 25 63 63
278 25 63 63
279 25 63 63
285 25 63 63
287 25 63 63
313 25 63 63
314 25 63 63
320 25 63 63
321 25 63 63
322 25 63 63
323 25 63 63
324 25 63 63
327 25 63 63
328 25 63 63
329 25 63 63
379 25 40 40
380 25 40 40
381 25 40 40
382 25 40 40
