3953 481 321
94 4 85 85
95 4 85 85
96 4 85 85
94 5 85 85
95 5 85 85
7 6 55 55
94 6 85 85
7 7 55 55
94 7 85 85
6 8 55 55
7 8 55 55
93 8 85 85
94 8 85 85
95 8 85 85
96 8 249 249
6 9 55 55
7 9 55 55
94 9 85 85
95 9 85 85
96 9 249 249
265 9 86 86
4 10 55 55
5 10 55 55
6 10 55 55
7 10 55 55
8 10 55 55
9 10 55 55
10 10 55 55
11 10 55 55
26 10 54 54
27 10 54 54
94 10 85 85
95 10 85 85
96 10 249 249
262 10 86 86
263 10 86 86
264 10 86 86
265 10 86 86
266 10 86 86
267 10 86 86
381 10 124 124
382 10 124 124
383 10 124 124
384 10 124 124
4 11 55 55
5 11 55 55
6 11 55 55
7 11 55 55
10 11 55 55
11 11 55 55
25 11 54 54
26 11 54 54
27 11 54 54
28 11 54 54
36 11 54 54
37 11 54 54
93 11 85 85
94 11 85 85
95 11 249 249
96 11 249 249
257 11 86 86
258 11 86 86
259 11 86 86
260 11 86 86
261 11 86 86
262 11 86 86
265 11 86 86
267 11 86 86
381 11 124 124
382 11 124 124
4 12 55 55
5 12 55 55
6 12 55 55
7 12 55 55
11 12 55 55
12 12 55 55
27 12 54 54
33 12 54 54
34 12 54 54
35 12 54 54
36 12 54 54
91 12 85 85
92 12 85 85
93 12 85 85
94 12 249 249
95 12 249 249
96 12 249 249
252 12 86 86
260 12 86 86
261 12 86 86
262 12 86 86
263 12 86 86
381 12 124 124
382 12 124 124
383 12 124 124
5 13 55 55
6 13 55 55
7 13 55 55
11 13 55 55
12 13 55 55
13 13 55 55
14 13 55 55
15 13 55 55
22 13 54 54
23 13 54 54
24 13 54 54
25 13 54 54
26 13 54 54
27 13 54 54
28 13 54 54
29 13 54 54
30 13 54 54
33 13 54 54
34 13 54 54
35 13 54 54
36 13 54 54
90 13 85 85
91 13 85 85
92 13 85 85
93 13 85 85
94 13 249 249
95 13 249 249
96 13 249 249
251 13 86 86
252 13 86 86
256 13 86 86
259 13 86 86
260 13 86 86
261 13 86 86
380 13 124 124
381 13 124 124
383 13 124 124
384 13 124 124
4 14 55 55
5 14 55 55
14 14 55 55
15 14 55 55
26 14 54 54
27 14 54 54
28 14 54 54
30 14 54 54
31 14 54 54
32 14 54 54
33 14 54 54
34 14 54 54
35 14 54 54
36 14 54 54
37 14 54 54
45 14 131 131
46 14 131 131
47 14 131 131
90 14 85 85
91 14 85 85
92 14 85 85
93 14 85 85
94 14 249 249
95 14 249 249
96 14 249 249
250 14 86 86
251 14 86 86
252 14 86 86
253 14 86 86
254 14 86 86
255 14 86 86
256 14 86 86
257 14 86 86
258 14 86 86
