707 481 321
440 0 2 2
441 0 2 2
442 0 2 2
443 0 2 2
444 0 2 2
445 0 2 2
446 0 2 2
447 0 2 2
448 0 2 2
449 0 2 2
450 0 2 2
451 0 2 2
452 0 2 2
453 0 2 2
454 0 2 2
455 0 2 2
456 0 2 2
472 0 2 2
473 0 2 2
474 0 2 2
475 0 2 2
476 0 2 2
477 0 2 2
478 0 2 2
479 0 2 2
480 0 2 2
440 1 2 2
441 1 2 2
442 1 2 2
443 1 2 2
444 1 2 2
445 1 2 2
446 1 2 2
447 1 2 2
448 1 2 2
449 1 2 2
450 1 2 2
451 1 2 2
452 1 2 2
453 1 2 2
454 1 2 2
455 1 2 2
472 1 2 2
473 1 2 2
474 1 2 2
475 1 2 2
476 1 2 2
477 1 2 2
478 1 2 2
479 1 2 2
480 1 2 2
440 2 2 2
441 2 2 2
442 2 2 2
443 2 2 2
444 2 2 2
445 2 2 2
446 2 2 2
447 2 2 2
448 2 2 2
449 2 2 2
450 2 2 2
451 2 2 2
452 2 2 2
453 2 2 2
454 2 2 2
455 2 2 2
456 2 2 2
472 2 2 2
473 2 2 2
474 2 2 2
475 2 2 2
476 2 2 2
477 2 2 2
478 2 2 2
479 2 2 2
480 2 2 2
440 3 2 2
441 3 2 2
442 3 2 2
443 3 2 2
444 3 2 2
445 3 2 2
446 3 2 2
447 3 2 2
448 3 2 2
449 3 2 2
450 3 2 2
451 3 2 2
452 3 2 2
453 3 2 2
454 3 2 2
455 3 2 2
471 3 2 2
472 3 2 2
473 3 2 2
474 3 2 2
475 3 2 2
476 3 2 2
477 3 2 2
478 3 2 2
479 3 2 2
480 3 2 2
439 4 2 2
440 4 2 2
441 4 2 2
442 4 2 2
443 4 2 2
444 4 2 2
445 4 2 2
446 4 2 2
447 4 2 2
448 4 2 2
449 4 2 2
450 4 2 2
451 4 2 2
452 4 2 2
453 4 2 2
454 4 2 2
455 4 2 2
456 4 2 2
459 4 2 2
471 4 2 2
472 4 2 2
473 4 2 2
474 4 2 2
475 4 2 2
476 4 2 2
477 4 2 2
478 4 2 2
479 4 2 2
480 4 2 2
440 5 2 2
441 5 2 2
442 5 2 2
443 5 2 2
444 5 2 2
445 5 2 2
446 5 2 2
447 5 2 2
448 5 2 2
449 5 2 2
450 5 2 2
451 5 2 2
452 5 2 2
453 5 2 2
