346 321 481
237 22 12 12
238 22 12 12
239 22 12 12
238 23 12 12
23 36 15 15
22 37 15 15
23 37 15 15
22 38 15 15
298 66 2 2
298 67 2 2
298 68 2 2
296 69 2 2
297 69 2 2
298 69 2 2
296 70 2 2
297 70 2 2
298 70 2 2
299 70 2 2
136 182 19 19
137 182 19 19
135 183 19 19
136 183 19 19
137 183 19 19
134 184 19 19
135 184 19 19
182 202 3 3
182 203 3 3
182 204 3 3
182 205 3 3
182 206 3 3
32 224 10 10
31 225 10 10
32 225 10 10
113 268 14 14
114 268 14 14
281 292 7 7
272 293 7 7
273 293 7 7
274 293 7 7
275 293 7 7
279 293 7 7
280 293 7 7
281 293 7 7
272 294 7 7
273 294 7 7
275 294 7 7
276 294 7 7
277 294 7 7
278 294 7 7
279 294 7 7
280 294 7 7
281 294 7 7
273 295 7 7
274 295 7 7
275 295 7 7
276 295 7 7
277 295 7 7
278 295 7 7
279 295 7 7
258 296 7 7
259 296 7 7
260 296 7 7
261 296 7 7
262 296 7 7
263 296 7 7
274 296 7 7
275 296 7 7
256 297 7 7
257 297 7 7
258 297 7 7
260 297 7 7
261 297 7 7
262 297 7 7
263 297 7 7
264 297 7 7
265 297 7 7
266 297 7 7
267 297 7 7
274 297 7 7
275 297 7 7
256 298 7 7
257 298 7 7
260 298 7 7
261 298 7 7
262 298 7 7
265 298 7 7
266 298 7 7
267 298 7 7
272 298 7 7
273 298 7 7
274 298 7 7
275 298 7 7
256 299 7 7
257 299 7 7
259 299 7 7
262 299 7 7
264 299 7 7
265 299 7 7
266 299 7 7
267 299 7 7
268 299 7 7
272 299 7 7
273 299 7 7
274 299 7 7
255 300 7 7
256 300 7 7
257 300 7 7
258 300 7 7
259 300 7 7
267 300 7 7
268 300 7 7
269 300 7 7
270 300 7 7
271 300 7 7
272 300 7 7
255 301 7 7
256 301 7 7
257 301 7 7
258 301 7 7
259 301 7 7
260 301 7 7
261 301 7 7
262 301 7 7
265 301 7 7
266 301 7 7
267 301 7 7
255 302 7 7
256 302 7 7
257 302 7 7
259 302 7 7
262 302 7 7
264 302 7 7
265 302 7 7
266 302 7 7
267 302 7 7
256 303 7 7
257 303 7 7
258 303 7 7
259 303 7 7
264 303 7 7
265 303 7 7
266 303 7 7
247 304 7 7
254 304 7 7
255 304 7 7
256 304 7 7
257 304 7 7
258 304 7 7
259 304 7 7
260 304 7 7
246 305 7 7
247 305 7 7
248 305 7 7
249 305 7 7
250 305 7 7
251 305 7 7
252 305 7 7
253 305 7 7
254 305 7 7
255 305 7 7
246 306 7 7
249 306 7 7
250 306 7 7
251 306 7 7
255 306 7 7
246 307 7 7
250 307 7 7
255 307 7 7
256 307 7 7
138 311 18 18
139 311 18 18
140 311 18 18
141 311 18 18
142 311 18 18
139 312 18 18
141 312 18 18
142 312 18 18
143 312 18 18
144 312 18 18
145 312 18 18
62 313 4 4
63 313 4 4
70 313 4 4
140 313 18 18
143 313 18 18
144 313 18 18
145 313 18 18
146 313 18 18
147 313 18 18
148 313 18 18
152 313 18 18
153 313 18 18
154 313 18 18
155 313 18 18
156 313 18 18
157 313 18 18
158 313 18 18
159 313 18 18
162 313 18 18
163 313 18 18
164 313 18 18
165 313 18 18
166 313 18 18
168 313 18 18
61 314 4 4
62 314 4 4
63 314 4 4
67 314 4 4
68 314 4 4
69 314 4 4
70 314 4 4
71 314 4 4
72 314 4 4
73 314 4 4
139 314 18 18
140 314 18 18
141 314 18 18
142 314 18 18
143 314 18 18
151 314 18 18
152 314 18 18
153 314 18 18
154 314 18 18
155 314 18 18
156 314 18 18
157 314 18 18
158 314 18 18
159 314 18 18
160 314 18 18
161 314 18 18
162 314 18 18
163 314 18 18
164 314 18 18
165 314 18 18
166 314 18 18
167 314 18 18
168 314 18 18
62 315 4 4
63 315 4 4
64 315 4 4
65 315 4 4
66 315 4 4
67 315 4 4
68 315 4 4
69 315 4 4
73 315 4 4
139 315 18 18
140 315 18 18
141 315 18 18
142 315 18 18
144 315 18 18
145 315 18 18
146 315 18 18
147 315 18 18
148 315 18 18
149 315 18 18
150 315 18 18
151 315 18 18
166 315 18 18
167 315 18 18
139 316 18 18
140 316 18 18
141 316 18 18
143 316 18 18
144 316 18 18
145 316 18 18
146 316 18 18
147 316 18 18
148 316 18 18
149 316 18 18
150 316 18 18
139 317 18 18
140 317 18 18
141 317 18 18
142 317 18 18
143 317 18 18
139 318 18 18
140 318 18 18
141 318 18 18
142 318 18 18
143 318 18 18
144 318 18 18
145 318 18 18
146 318 18 18
147 318 18 18
148 318 18 18
149 318 18 18
150 318 18 18
151 318 18 18
143 319 18 18
144 319 18 18
145 319 18 18
146 319 18 18
302 322 6 6
301 323 6 6
302 323 6 6
85 354 13 13
85 355 13 13
84 356 13 13
85 356 13 13
246 361 5 5
247 361 5 5
248 361 5 5
249 361 5 5
250 361 5 5
251 361 5 5
252 361 5 5
246 362 5 5
248 362 5 5
56 378 8 8
57 378 8 8
56 379 8 8
57 379 8 8
58 379 8 8
57 380 8 8
58 380 8 8
59 380 8 8
56 381 8 8
57 381 8 8
251 401 11 11
250 402 11 11
251 402 11 11
20 429 9 9
21 429 9 9
22 429 9 9
260 434 0 0
261 434 0 0
262 434 0 0
263 434 0 0
267 445 17 17
268 445 17 17
267 446 17 17
5 457 16 16
4 458 16 16
5 458 16 16
3 459 16 16
4 459 16 16
5 459 16 16
4 460 16 16
4 461 16 16
5 461 16 16
5 462 16 16
107 477 1 1
108 477 1 1
107 478 1 1
108 478 1 1
