1593 481 321
480 0 94 94
480 1 94 94
479 2 94 94
480 2 94 94
480 3 94 94
480 4 94 94
480 5 94 94
480 6 94 94
480 7 94 94
480 8 94 94
480 9 94 94
353 25 7 7
354 25 7 7
353 26 7 7
354 26 7 7
354 27 7 7
355 27 7 7
360 27 7 7
354 28 7 7
355 28 7 7
360 28 7 7
354 29 7 7
358 29 7 7
359 29 7 7
360 29 7 7
354 30 7 7
357 30 7 7
358 30 7 7
359 30 7 7
353 31 7 7
354 31 7 7
355 31 7 7
356 31 7 7
357 31 7 7
367 31 7 7
353 32 7 7
355 32 7 7
358 32 7 7
361 32 7 7
364 32 7 7
366 32 7 7
367 32 7 7
352 33 7 7
353 33 7 7
354 33 7 7
357 33 7 7
358 33 7 7
359 33 7 7
360 33 7 7
361 33 7 7
362 33 7 7
363 33 7 7
364 33 7 7
365 33 7 7
366 33 7 7
367 33 7 7
368 33 7 7
350 34 7 7
351 34 7 7
352 34 7 7
353 34 7 7
354 34 7 7
356 34 7 7
357 34 7 7
358 34 7 7
360 34 7 7
361 34 7 7
362 34 7 7
363 34 7 7
367 34 7 7
368 34 7 7
349 35 7 7
350 35 7 7
352 35 7 7
353 35 7 7
354 35 7 7
356 35 7 7
358 35 7 7
359 35 7 7
360 35 7 7
361 35 7 7
362 35 7 7
363 35 7 7
364 35 7 7
365 35 7 7
366 35 7 7
367 35 7 7
368 35 7 7
369 35 7 7
353 36 7 7
354 36 7 7
355 36 7 7
356 36 7 7
357 36 7 7
361 36 7 7
363 36 7 7
366 36 7 7
367 36 7 7
368 36 7 7
353 37 7 7
354 37 7 7
355 37 7 7
356 37 7 7
357 37 7 7
361 37 7 7
363 37 7 7
367 37 7 7
368 37 7 7
369 37 7 7
370 37 7 7
371 37 7 7
372 37 7 7
373 37 7 7
354 38 7 7
356 38 7 7
357 38 7 7
358 38 7 7
360 38 7 7
361 38 7 7
362 38 7 7
363 38 7 7
368 38 7 7
369 38 7 7
370 38 7 7
371 38 7 7
356 39 7 7
357 39 7 7
360 39 7 7
361 39 7 7
371 39 7 7
202 51 29 29
203 51 29 29
204 51 29 29
200 52 29 29
201 52 29 29
202 52 29 29
203 52 29 29
204 52 29 29
200 53 29 29
201 53 29 29
201 54 29 29
193 55 29 29
196 55 29 29
197 55 29 29
201 55 29 29
202 55 29 29
203 55 29 29
204 55 29 29
205 55 29 29
187 56 29 29
188 56 29 29
189 56 29 29
192 56 29 29
193 56 29 29
194 56 29 29
195 56 29 29
196 56 29 29
197 56 29 29
201 56 29 29
202 56 29 29
203 56 29 29
303 56 15 15
305 56 15 15
356 56 39 39
187 57 29 29
