23534 321 481
152 0 42 42
153 0 42 42
154 0 42 42
155 0 42 42
156 0 42 42
159 0 7 7
160 0 7 7
161 0 7 7
162 0 7 7
163 0 7 7
170 0 7 7
171 0 7 7
172 0 7 7
173 0 7 7
183 0 7 7
185 0 73 73
186 0 73 73
187 0 73 73
188 0 73 73
152 1 42 42
155 1 42 42
156 1 42 42
159 1 84 84
160 1 7 7
162 1 7 7
163 1 7 7
167 1 7 7
170 1 7 7
171 1 7 7
172 1 7 7
183 1 7 7
185 1 73 73
186 1 73 73
187 1 73 73
188 1 73 73
189 1 73 73
203 1 60 60
204 1 60 60
14 2 65 65
127 2 42 42
155 2 42 42
156 2 42 42
159 2 84 84
163 2 7 7
164 2 7 7
165 2 7 7
166 2 7 7
167 2 7 7
168 2 7 7
169 2 7 7
170 2 7 7
174 2 7 7
175 2 7 7
183 2 7 7
184 2 73 73
185 2 73 73
186 2 73 73
187 2 73 73
188 2 73 73
189 2 73 73
196 2 73 73
197 2 73 73
201 2 60 60
202 2 60 60
203 2 60 60
204 2 60 60
205 2 60 60
208 2 60 60
209 2 60 60
210 2 60 60
13 3 65 65
14 3 65 65
120 3 42 42
121 3 42 42
122 3 42 42
125 3 42 42
126 3 42 42
127 3 42 42
129 3 42 42
130 3 42 42
131 3 42 42
132 3 42 42
133 3 42 42
134 3 42 42
135 3 42 42
136 3 42 42
137 3 42 42
138 3 42 42
139 3 42 42
140 3 42 42
141 3 42 42
142 3 42 42
143 3 42 42
149 3 42 42
152 3 42 42
153 3 42 42
155 3 42 42
156 3 42 42
159 3 84 84
163 3 84 84
164 3 84 84
165 3 84 84
166 3 84 84
167 3 7 7
170 3 7 7
171 3 7 7
172 3 7 7
173 3 7 7
174 3 7 7
175 3 7 7
180 3 7 7
183 3 7 7
184 3 7 7
185 3 73 73
186 3 73 73
187 3 73 73
188 3 73 73
189 3 73 73
190 3 73 73
192 3 73 73
193 3 73 73
194 3 73 73
195 3 73 73
196 3 73 73
197 3 73 73
198 3 73 73
199 3 73 73
200 3 60 60
201 3 60 60
202 3 60 60
203 3 60 60
204 3 60 60
205 3 60 60
206 3 60 60
208 3 60 60
209 3 60 60
210 3 60 60
211 3 60 60
212 3 60 60
120 4 42 42
121 4 42 42
122 4 42 42
123 4 42 42
124 4 42 42
125 4 42 42
133 4 42 42
134 4 42 42
135 4 42 42
136 4 42 42
140 4 42 42
141 4 42 42
142 4 42 42
143 4 42 42
146 4 42 42
149 4 42 42
152 4 42 42
153 4 42 42
154 4 42 42
155 4 42 42
156 4 42 42
159 4 84 84
160 4 84 84
161 4 84 84
162 4 84 84
163 4 84 84
164 4 84 84
165 4 84 84
166 4 84 84
167 4 7 7
171 4 7 7
172 4 7 7
173 4 7 7
174 4 7 7
175 4 7 7
176 4 7 7
177 4 7 7
178 4 7 7
179 4 7 7
180 4 7 7
181 4 7 7
183 4 7 7
184 4 7 7
185 4 7 7
186 4 73 73
187 4 73 73
188 4 73 73
189 4 73 73
190 4 73 73
191 4 73 73
192 4 73 73
193 4 73 73
194 4 73 73
195 4 73 73
196 4 73 73
197 4 73 73
198 4 73 73
199 4 73 73
200 4 60 60
201 4 60 60
202 4 60 60
203 4 60 60
204 4 60 60
205 4 60 60
206 4 60 60
207 4 60 60
208 4 60 60
209 4 60 60
210 4 60 60
211 4 60 60
212 4 60 60
213 4 60 60
214 4 60 60
215 4 60 60
241 4 34 34
242 4 34 34
121 5 42 42
122 5 42 42
123 5 42 42
124 5 42 42
125 5 42 42
130 5 42 42
133 5 42 42
134 5 42 42
136 5 42 42
137 5 42 42
138 5 42 42
139 5 42 42
143 5 42 42
144 5 42 42
145 5 42 42
146 5 42 42
147 5 42 42
148 5 42 42
149 5 42 42
150 5 42 42
151 5 42 42
152 5 42 42
153 5 42 42
154 5 42 42
157 5 84 84
158 5 84 84
159 5 84 84
160 5 84 84
161 5 84 84
162 5 84 84
163 5 84 84
164 5 84 84
165 5 84 84
166 5 84 84
167 5 7 7
168 5 7 7
169 5 7 7
170 5 7 7
171 5 7 7
172 5 7 7
173 5 7 7
174 5 7 7
175 5 7 7
176 5 7 7
177 5 7 7
178 5 7 7
179 5 7 7
180 5 7 7
181 5 7 7
182 5 7 7
183 5 7 7
184 5 7 7
185 5 7 7
186 5 7 7
187 5 7 7
188 5 73 73
189 5 73 73
190 5 73 73
191 5 73 73
192 5 73 73
193 5 73 73
194 5 73 73
195 5 73 73
196 5 73 73
197 5 73 73
198 5 73 73
200 5 73 73
201 5 73 73
202 5 73 73
203 5 60 60
204 5 60 60
205 5 60 60
206 5 60 60
207 5 60 60
208 5 60 60
209 5 60 60
210 5 60 60
211 5 60 60
212 5 60 60
213 5 60 60
214 5 60 60
215 5 60 60
216 5 60 60
217 5 60 60
218 5 60 60
238 5 34 34
241 5 34 34
120 6 42 42
121 6 42 42
122 6 42 42
123 6 42 42
124 6 42 42
125 6 42 42
126 6 42 42
127 6 42 42
128 6 42 42
129 6 42 42
130 6 42 42
131 6 42 42
132 6 42 42
133 6 42 42
134 6 42 42
135 6 42 42
136 6 42 42
137 6 42 42
138 6 42 42
139 6 42 42
140 6 42 42
142 6 42 42
143 6 42 42
145 6 42 42
146 6 42 42
152 6 42 42
153 6 42 42
154 6 42 42
157 6 84 84
158 6 84 84
159 6 84 84
161 6 84 84
162 6 84 84
165 6 84 84
166 6 84 84
167 6 7 7
168 6 84 84
169 6 84 84
170 6 84 84
171 6 84 84
172 6 84 84
173 6 84 84
174 6 84 84
175 6 84 84
176 6 7 7
177 6 7 7
178 6 7 7
180 6 7 7
181 6 7 7
182 6 7 7
183 6 7 7
184 6 7 7
185 6 7 7
186 6 7 7
187 6 7 7
188 6 73 73
189 6 73 73
190 6 7 7
191 6 73 73
192 6 73 73
193 6 73 73
194 6 73 73
195 6 73 73
196 6 73 73
197 6 73 73
198 6 73 73
200 6 73 73
201 6 73 73
202 6 73 73
203 6 73 73
204 6 73 73
205 6 60 60
206 6 60 60
207 6 60 60
208 6 60 60
209 6 60 60
210 6 60 60
211 6 60 60
213 6 60 60
214 6 60 60
215 6 60 60
216 6 60 60
217 6 60 60
218 6 60 60
219 6 60 60
220 6 60 60
221 6 60 60
237 6 34 34
238 6 34 34
239 6 34 34
240 6 34 34
241 6 34 34
242 6 34 34
244 6 34 34
245 6 34 34
246 6 34 34
118 7 42 42
119 7 42 42
120 7 42 42
121 7 42 42
122 7 42 42
123 7 42 42
124 7 42 42
125 7 42 42
126 7 42 42
127 7 42 42
129 7 42 42
130 7 42 42
132 7 42 42
133 7 42 42
134 7 42 42
137 7 42 42
138 7 42 42
139 7 42 42
142 7 42 42
143 7 42 42
144 7 42 42
145 7 42 42
146 7 42 42
147 7 42 42
150 7 42 42
151 7 42 42
152 7 42 42
153 7 42 42
154 7 42 42
156 7 84 84
157 7 84 84
158 7 84 84
159 7 84 84
161 7 84 84
162 7 84 84
165 7 84 84
166 7 84 84
167 7 84 84
168 7 84 84
169 7 84 84
170 7 84 84
171 7 7 7
172 7 7 7
173 7 7 7
174 7 7 7
175 7 7 7
176 7 7 7
177 7 7 7
178 7 7 7
180 7 7 7
181 7 7 7
182 7 7 7
184 7 7 7
185 7 7 7
186 7 7 7
187 7 7 7
188 7 73 73
189 7 73 73
190 7 7 7
191 7 7 7
192 7 7 7
193 7 73 73
194 7 73 73
195 7 73 73
196 7 73 73
197 7 73 73
198 7 73 73
199 7 73 73
200 7 73 73
201 7 73 73
202 7 73 73
203 7 73 73
204 7 73 73
205 7 60 60
206 7 60 60
207 7 60 60
209 7 60 60
210 7 60 60
211 7 60 60
212 7 60 60
213 7 60 60
214 7 60 60
215 7 60 60
216 7 60 60
217 7 60 60
218 7 60 60
238 7 34 34
239 7 34 34
240 7 34 34
241 7 34 34
242 7 34 34
243 7 34 34
244 7 34 34
245 7 34 34
246 7 34 34
96 8 61 61
104 8 61 61
105 8 61 61
106 8 61 61
107 8 61 61
108 8 61 61
111 8 42 42
112 8 42 42
113 8 42 42
114 8 42 42
115 8 42 42
116 8 42 42
117 8 42 42
118 8 42 42
119 8 42 42
120 8 42 42
121 8 42 42
122 8 42 42
123 8 42 42
124 8 42 42
125 8 42 42
126 8 42 42
127 8 42 42
128 8 42 42
129 8 42 42
130 8 42 42
131 8 42 42
132 8 42 42
133 8 42 42
134 8 42 42
135 8 42 42
136 8 42 42
137 8 42 42
138 8 42 42
139 8 42 42
140 8 42 42
141 8 42 42
142 8 42 42
143 8 42 42
145 8 42 42
146 8 42 42
147 8 42 42
148 8 42 42
149 8 42 42
150 8 42 42
151 8 42 42
152 8 42 42
153 8 42 42
154 8 89 89
155 8 89 89
156 8 89 89
157 8 89 89
158 8 89 89
159 8 89 89
160 8 84 84
161 8 84 84
162 8 84 84
163 8 84 84
164 8 89 89
165 8 84 84
166 8 84 84
167 8 84 84
168 8 84 84
169 8 84 84
170 8 84 84
171 8 84 84
172 8 84 84
173 8 84 84
174 8 84 84
175 8 84 84
176 8 84 84
177 8 84 84
178 8 7 7
179 8 7 7
180 8 84 84
181 8 84 84
182 8 84 84
183 8 7 7
184 8 7 7
185 8 7 7
186 8 7 7
187 8 7 7
188 8 7 7
189 8 7 7
190 8 7 7
191 8 7 7
192 8 7 7
193 8 7 7
194 8 7 7
195 8 7 7
196 8 7 7
197 8 7 7
198 8 7 7
199 8 7 7
200 8 7 7
201 8 73 73
202 8 73 73
203 8 60 60
204 8 60 60
205 8 60 60
206 8 73 73
207 8 73 73
208 8 60 60
209 8 60 60
210 8 73 73
211 8 73 73
212 8 73 73
213 8 60 60
214 8 60 60
215 8 60 60
217 8 60 60
218 8 60 60
219 8 60 60
220 8 60 60
221 8 60 60
239 8 34 34
242 8 34 34
243 8 34 34
244 8 34 34
245 8 34 34
246 8 34 34
248 8 34 34
81 9 0 0
82 9 0 0
83 9 0 0
84 9 0 0
85 9 0 0
96 9 61 61
104 9 61 61
106 9 61 61
107 9 61 61
108 9 61 61
111 9 42 42
112 9 42 42
113 9 42 42
114 9 42 42
115 9 42 42
116 9 42 42
117 9 42 42
118 9 42 42
119 9 42 42
120 9 42 42
121 9 42 42
122 9 42 42
123 9 42 42
124 9 42 42
125 9 42 42
126 9 42 42
127 9 42 42
128 9 42 42
129 9 42 42
130 9 42 42
131 9 42 42
132 9 42 42
133 9 42 42
134 9 42 42
135 9 42 42
136 9 42 42
137 9 42 42
138 9 42 42
139 9 42 42
140 9 42 42
141 9 42 42
142 9 42 42
143 9 42 42
145 9 42 42
146 9 42 42
147 9 42 42
