17356 481 321
141 0 4 4
142 0 4 4
143 0 4 4
144 0 4 4
147 0 4 4
148 0 4 4
149 0 4 4
151 0 4 4
154 0 4 4
155 0 4 4
156 0 4 4
157 0 4 4
158 0 4 4
159 0 4 4
160 0 4 4
161 0 4 4
169 0 4 4
170 0 4 4
173 0 4 4
174 0 4 4
176 0 4 4
177 0 4 4
181 0 4 4
182 0 4 4
183 0 4 4
184 0 4 4
185 0 4 4
186 0 4 4
187 0 4 4
188 0 4 4
189 0 4 4
190 0 4 4
191 0 4 4
102 1 15 15
133 1 4 4
140 1 4 4
141 1 4 4
142 1 4 4
143 1 4 4
144 1 4 4
145 1 4 4
146 1 4 4
147 1 4 4
148 1 4 4
149 1 4 4
150 1 4 4
151 1 4 4
152 1 4 4
153 1 4 4
154 1 4 4
155 1 4 4
156 1 4 4
157 1 4 4
158 1 4 4
159 1 4 4
160 1 4 4
161 1 4 4
162 1 4 4
163 1 4 4
164 1 4 4
165 1 4 4
166 1 4 4
167 1 4 4
169 1 4 4
170 1 4 4
173 1 4 4
174 1 4 4
176 1 4 4
177 1 4 4
178 1 4 4
179 1 4 4
180 1 4 4
181 1 4 4
182 1 4 4
183 1 4 4
184 1 4 4
185 1 4 4
186 1 4 4
187 1 4 4
188 1 4 4
189 1 4 4
190 1 4 4
191 1 4 4
102 2 15 15
103 2 15 15
112 2 4 4
113 2 4 4
114 2 4 4
117 2 4 4
130 2 4 4
131 2 4 4
132 2 4 4
133 2 4 4
134 2 4 4
135 2 4 4
136 2 4 4
137 2 4 4
138 2 4 4
139 2 4 4
140 2 4 4
141 2 4 4
142 2 4 4
143 2 4 4
144 2 4 4
145 2 4 4
146 2 4 4
147 2 4 4
148 2 4 4
149 2 4 4
154 2 4 4
155 2 4 4
156 2 4 4
157 2 4 4
158 2 4 4
159 2 4 4
160 2 4 4
161 2 4 4
162 2 4 4
163 2 4 4
164 2 4 4
165 2 4 4
166 2 4 4
167 2 4 4
168 2 4 4
169 2 4 4
170 2 4 4
171 2 4 4
172 2 4 4
173 2 4 4
174 2 4 4
175 2 4 4
176 2 4 4
177 2 4 4
178 2 4 4
179 2 4 4
180 2 4 4
181 2 4 4
182 2 4 4
183 2 4 4
184 2 4 4
185 2 4 4
186 2 4 4
187 2 4 4
188 2 4 4
189 2 4 4
190 2 4 4
191 2 4 4
396 2 19 19
397 2 19 19
398 2 19 19
103 3 15 15
104 3 15 15
111 3 4 4
112 3 4 4
113 3 4 4
114 3 4 4
115 3 4 4
117 3 4 4
118 3 4 4
130 3 4 4
131 3 4 4
132 3 4 4
133 3 4 4
134 3 4 4
135 3 4 4
136 3 4 4
137 3 4 4
138 3 4 4
139 3 4 4
140 3 4 4
141 3 4 4
142 3 4 4
143 3 4 4
144 3 4 4
145 3 4 4
146 3 4 4
147 3 4 4
148 3 4 4
149 3 4 4
150 3 4 4
152 3 4 4
153 3 4 4
154 3 4 4
155 3 4 4
156 3 4 4
157 3 4 4
158 3 4 4
160 3 4 4
161 3 4 4
162 3 4 4
163 3 4 4
164 3 4 4
165 3 4 4
166 3 4 4
167 3 4 4
168 3 4 4
171 3 4 4
172 3 4 4
173 3 4 4
174 3 4 4
175 3 4 4
176 3 4 4
177 3 4 4
178 3 4 4
179 3 4 4
180 3 4 4
181 3 4 4
182 3 4 4
183 3 4 4
184 3 4 4
185 3 4 4
186 3 4 4
187 3 4 4
188 3 4 4
189 3 4 4
190 3 4 4
191 3 4 4
395 3 19 19
396 3 19 19
74 4 15 15
102 4 15 15
103 4 15 15
104 4 15 15
115 4 4 4
116 4 4 4
117 4 4 4
118 4 4 4
119 4 4 4
122 4 4 4
123 4 4 4
124 4 4 4
125 4 4 4
126 4 4 4
127 4 4 4
130 4 4 4
131 4 4 4
132 4 4 4
133 4 4 4
134 4 4 4
135 4 4 4
136 4 4 4
137 4 4 4
138 4 4 4
139 4 4 4
140 4 4 4
141 4 4 4
142 4 4 4
143 4 4 4
144 4 4 4
145 4 4 4
149 4 4 4
150 4 4 4
152 4 4 4
158 4 4 4
159 4 4 4
175 4 4 4
176 4 4 4
177 4 4 4
178 4 4 4
179 4 4 4
180 4 4 4
181 4 4 4
182 4 4 4
183 4 4 4
394 4 19 19
395 4 19 19
69 5 15 15
70 5 15 15
71 5 15 15
72 5 15 15
73 5 15 15
74 5 15 15
75 5 15 15
76 5 15 15
77 5 15 15
78 5 15 15
79 5 15 15
80 5 15 15
81 5 15 15
82 5 15 15
103 5 15 15
104 5 15 15
105 5 15 15
116 5 4 4
117 5 4 4
118 5 4 4
119 5 4 4
120 5 4 4
122 5 4 4
123 5 4 4
124 5 4 4
125 5 4 4
126 5 4 4
127 5 4 4
130 5 4 4
131 5 4 4
132 5 4 4
133 5 4 4
134 5 4 4
135 5 4 4
136 5 4 4
137 5 4 4
138 5 4 4
139 5 4 4
140 5 4 4
141 5 4 4
142 5 4 4
143 5 4 4
144 5 4 4
145 5 4 4
158 5 4 4
159 5 4 4
176 5 4 4
177 5 4 4
178 5 4 4
179 5 4 4
180 5 4 4
181 5 4 4
182 5 4 4
183 5 4 4
392 5 19 19
393 5 19 19
394 5 19 19
66 6 15 15
67 6 15 15
68 6 15 15
69 6 15 15
70 6 15 15
71 6 15 15
72 6 15 15
73 6 15 15
74 6 15 15
75 6 15 15
76 6 15 15
77 6 15 15
78 6 15 15
79 6 15 15
83 6 15 15
84 6 15 15
85 6 15 15
100 6 15 15
103 6 15 15
104 6 15 15
105 6 15 15
106 6 15 15
107 6 15 15
117 6 4 4
118 6 4 4
119 6 4 4
124 6 4 4
125 6 4 4
126 6 4 4
127 6 4 4
128 6 4 4
129 6 4 4
130 6 4 4
131 6 4 4
132 6 4 4
133 6 4 4
135 6 4 4
177 6 4 4
178 6 4 4
179 6 4 4
180 6 4 4
181 6 4 4
182 6 4 4
183 6 4 4
193 6 33 33
197 6 33 33
198 6 33 33
199 6 33 33
201 6 33 33
202 6 33 33
205 6 33 33
206 6 33 33
207 6 33 33
216 6 33 33
217 6 33 33
218 6 33 33
219 6 33 33
220 6 33 33
221 6 33 33
222 6 33 33
223 6 33 33
297 6 47 47
298 6 47 47
299 6 47 47
300 6 47 47
301 6 47 47
302 6 47 47
303 6 47 47
304 6 47 47
306 6 47 47
308 6 47 47
310 6 47 47
312 6 47 47
314 6 47 47
316 6 47 47
318 6 47 47
335 6 19 19
336 6 19 19
337 6 19 19
338 6 19 19
348 6 19 19
349 6 19 19
350 6 19 19
351 6 19 19
352 6 19 19
360 6 19 19
361 6 19 19
366 6 19 19
367 6 19 19
368 6 19 19
376 6 19 19
392 6 19 19
393 6 19 19
64 7 15 15
65 7 15 15
66 7 15 15
67 7 15 15
68 7 15 15
69 7 15 15
70 7 15 15
71 7 15 15
72 7 15 15
73 7 15 15
74 7 15 15
75 7 15 15
76 7 15 15
77 7 15 15
78 7 15 15
79 7 15 15
84 7 15 15
85 7 15 15
86 7 15 15
98 7 15 15
99 7 15 15
100 7 15 15
101 7 15 15
102 7 15 15
103 7 15 15
104 7 15 15
105 7 15 15
119 7 4 4
120 7 4 4
121 7 4 4
123 7 4 4
124 7 4 4
125 7 4 4
127 7 4 4
128 7 4 4
129 7 4 4
130 7 4 4
131 7 4 4
132 7 4 4
133 7 4 4
135 7 4 4
178 7 4 4
179 7 4 4
180 7 4 4
192 7 33 33
193 7 33 33
197 7 33 33
198 7 33 33
201 7 33 33
202 7 33 33
205 7 33 33
206 7 33 33
207 7 33 33
208 7 33 33
216 7 33 33
217 7 33 33
218 7 33 33
219 7 33 33
220 7 33 33
221 7 33 33
222 7 33 33
223 7 33 33
224 7 33 33
225 7 33 33
226 7 33 33
227 7 33 33
228 7 33 33
229 7 33 33
230 7 33 33
231 7 33 33
264 7 33 33
292 7 47 47
293 7 47 47
294 7 47 47
295 7 47 47
296 7 47 47
297 7 47 47
298 7 47 47
299 7 47 47
300 7 47 47
301 7 47 47
302 7 47 47
303 7 47 47
304 7 47 47
305 7 47 47
306 7 47 47
307 7 47 47
308 7 47 47
309 7 47 47
310 7 47 47
311 7 47 47
312 7 47 47
313 7 47 47
314 7 47 47
315 7 47 47
316 7 47 47
317 7 47 47
318 7 47 47
319 7 47 47
320 7 47 47
322 7 47 47
324 7 47 47
326 7 47 47
328 7 47 47
330 7 47 47
332 7 47 47
333 7 19 19
334 7 19 19
335 7 19 19
336 7 19 19
337 7 19 19
338 7 19 19
339 7 19 19
340 7 19 19
341 7 19 19
347 7 19 19
348 7 19 19
349 7 19 19
350 7 19 19
351 7 19 19
352 7 19 19
353 7 19 19
354 7 19 19
355 7 19 19
356 7 19 19
357 7 19 19
358 7 19 19
359 7 19 19
360 7 19 19
361 7 19 19
362 7 19 19
363 7 19 19
364 7 19 19
365 7 19 19
366 7 19 19
367 7 19 19
368 7 19 19
369 7 19 19
370 7 19 19
371 7 19 19
372 7 19 19
373 7 19 19
374 7 19 19
375 7 19 19
376 7 19 19
377 7 19 19
378 7 19 19
379 7 19 19
380 7 19 19
381 7 19 19
392 7 19 19
393 7 19 19
65 8 15 15
68 8 15 15
69 8 15 15
71 8 15 15
72 8 15 15
73 8 15 15
74 8 15 15
75 8 15 15
76 8 15 15
77 8 15 15
78 8 15 15
79 8 15 15
80 8 15 15
81 8 15 15
82 8 15 15
83 8 15 15
84 8 15 15
85 8 15 15
86 8 15 15
87 8 15 15
88 8 15 15
89 8 15 15
90 8 15 15
91 8 15 15
92 8 15 15
93 8 15 15
94 8 15 15
95 8 15 15
96 8 15 15
97 8 15 15
98 8 15 15
99 8 15 15
100 8 15 15
101 8 15 15
102 8 15 15
103 8 15 15
104 8 15 15
105 8 15 15
106 8 15 15
107 8 15 15
120 8 4 4
121 8 4 4
122 8 4 4
123 8 4 4
124 8 4 4
125 8 4 4
128 8 4 4
129 8 4 4
133 8 4 4
134 8 4 4
135 8 4 4
141 8 33 33
145 8 33 33
146 8 33 33
147 8 33 33
148 8 33 33
149 8 33 33
156 8 33 33
157 8 33 33
188 8 33 33
189 8 33 33
190 8 33 33
191 8 33 33
192 8 33 33
193 8 33 33
194 8 33 33
195 8 33 33
196 8 33 33
197 8 33 33
198 8 33 33
199 8 33 33
200 8 33 33
201 8 33 33
202 8 33 33
203 8 33 33
204 8 33 33
205 8 33 33
206 8 33 33
207 8 33 33
208 8 33 33
209 8 33 33
214 8 33 33
215 8 33 33
216 8 33 33
217 8 33 33
218 8 33 33
219 8 33 33
220 8 33 33
221 8 33 33
222 8 33 33
223 8 33 33
224 8 33 33
225 8 33 33
226 8 33 33
230 8 33 33
231 8 33 33
232 8 33 33
236 8 33 33
237 8 33 33
238 8 33 33
240 8 33 33
241 8 33 33
242 8 33 33
243 8 33 33
244 8 33 33
245 8 33 33
253 8 33 33
254 8 33 33
263 8 33 33
264 8 33 33
265 8 33 33
266 8 33 33
267 8 33 33
268 8 33 33
269 8 33 33
270 8 33 33
271 8 33 33
284 8 47 47
285 8 47 47
286 8 47 47
287 8 47 47
288 8 47 47
289 8 47 47
290 8 47 47
291 8 47 47
292 8 47 47
293 8 47 47
294 8 47 47
295 8 47 47
296 8 47 47
297 8 47 47
303 8 47 47
304 8 47 47
305 8 47 47
306 8 47 47
307 8 47 47
308 8 47 47
309 8 47 47
310 8 47 47
311 8 47 47
312 8 47 47
313 8 47 47
314 8 47 47
315 8 47 47
316 8 47 47
317 8 47 47
318 8 47 47
319 8 47 47
320 8 47 47
321 8 47 47
322 8 47 47
323 8 47 47
324 8 47 47
325 8 47 47
326 8 47 47
327 8 47 47
328 8 47 47
329 8 47 47
330 8 47 47
331 8 47 47
332 8 47 47
333 8 47 47
334 8 47 47
335 8 47 47
336 8 19 19
337 8 19 19
338 8 19 19
339 8 19 19
340 8 19 19
341 8 19 19
344 8 19 19
345 8 19 19
346 8 19 19
347 8 19 19
348 8 19 19
349 8 19 19
350 8 19 19
351 8 19 19
352 8 19 19
353 8 19 19
354 8 19 19
359 8 19 19
360 8 19 19
361 8 19 19
362 8 19 19
363 8 19 19
364 8 19 19
365 8 19 19
366 8 19 19
368 8 19 19
369 8 19 19
370 8 19 19
371 8 19 19
372 8 19 19
373 8 19 19
374 8 19 19
375 8 19 19
376 8 19 19
377 8 19 19
378 8 19 19
379 8 19 19
380 8 19 19
381 8 19 19
388 8 19 19
389 8 19 19
390 8 19 19
391 8 19 19
392 8 19 19
393 8 19 19
394 8 19 19
403 8 19 19
404 8 19 19
64 9 15 15
69 9 15 15
70 9 15 15
71 9 15 15
72 9 15 15
73 9 15 15
74 9 15 15
75 9 15 15
76 9 15 15
77 9 15 15
78 9 15 15
79 9 15 15
80 9 15 15
81 9 15 15
82 9 15 15
83 9 15 15
84 9 15 15
85 9 15 15
86 9 15 15
87 9 15 15
88 9 15 15
89 9 15 15
90 9 15 15
91 9 15 15
92 9 15 15
93 9 15 15
94 9 15 15
95 9 15 15
96 9 15 15
97 9 15 15
98 9 15 15
99 9 15 15
100 9 15 15
101 9 15 15
102 9 15 15
105 9 15 15
106 9 15 15
107 9 15 15
121 9 4 4
122 9 4 4
123 9 4 4
124 9 4 4
125 9 4 4
140 9 33 33
141 9 33 33
144 9 33 33
145 9 33 33
146 9 33 33
147 9 33 33
148 9 33 33
149 9 33 33
152 9 33 33
153 9 33 33
155 9 33 33
156 9 33 33
157 9 33 33
161 9 33 33
162 9 33 33
163 9 33 33
164 9 33 33
165 9 33 33
166 9 33 33
177 9 33 33
178 9 33 33
179 9 33 33
180 9 33 33
181 9 33 33
182 9 33 33
185 9 33 33
186 9 33 33
187 9 33 33
188 9 33 33
189 9 33 33
190 9 33 33
191 9 33 33
192 9 33 33
193 9 33 33
194 9 33 33
195 9 33 33
196 9 33 33
197 9 33 33
198 9 33 33
199 9 33 33
200 9 33 33
201 9 33 33
202 9 33 33
203 9 33 33
204 9 33 33
205 9 33 33
206 9 33 33
207 9 33 33
208 9 33 33
209 9 33 33
210 9 33 33
211 9 33 33
212 9 33 33
213 9 33 33
214 9 33 33
215 9 33 33
216 9 33 33
217 9 33 33
218 9 33 33
219 9 33 33
220 9 33 33
221 9 33 33
222 9 33 33
223 9 33 33
224 9 33 33
225 9 33 33
226 9 33 33
227 9 33 33
228 9 33 33
229 9 33 33
230 9 33 33
231 9 33 33
232 9 33 33
233 9 33 33
235 9 33 33
236 9 33 33
237 9 33 33
238 9 33 33
239 9 33 33
240 9 33 33
241 9 33 33
242 9 33 33
243 9 33 33
244 9 33 33
245 9 33 33
246 9 33 33
247 9 33 33
249 9 33 33
250 9 33 33
251 9 33 33
252 9 33 33
253 9 33 33
254 9 33 33
255 9 33 33
256 9 33 33
257 9 33 33
258 9 33 33
259 9 33 33
260 9 33 33
261 9 33 33
262 9 33 33
263 9 33 33
264 9 33 33
265 9 33 33
266 9 33 33
267 9 33 33
268 9 33 33
269 9 33 33
270 9 33 33
271 9 33 33
272 9 33 33
273 9 33 33
282 9 47 47
283 9 47 47
284 9 47 47
285 9 47 47
286 9 47 47
287 9 47 47
288 9 47 47
289 9 47 47
290 9 47 47
291 9 47 47
292 9 47 47
293 9 47 47
294 9 47 47
295 9 47 47
296 9 47 47
297 9 47 47
304 9 47 47
305 9 47 47
306 9 47 47
307 9 47 47
308 9 47 47
309 9 47 47
310 9 47 47
311 9 47 47
312 9 47 47
313 9 47 47
314 9 47 47
315 9 47 47
316 9 47 47
317 9 47 47
318 9 47 47
319 9 47 47
320 9 47 47
321 9 47 47
322 9 47 47
323 9 47 47
324 9 47 47
325 9 47 47
326 9 47 47
327 9 47 47
328 9 47 47
329 9 47 47
330 9 47 47
331 9 47 47
332 9 47 47
333 9 47 47
334 9 47 47
335 9 47 47
336 9 47 47
337 9 19 19
338 9 19 19
339 9 19 19
340 9 19 19
341 9 19 19
342 9 19 19
343 9 19 19
344 9 19 19
345 9 19 19
346 9 19 19
347 9 19 19
348 9 19 19
349 9 19 19
350 9 19 19
351 9 19 19
352 9 19 19
353 9 19 19
354 9 19 19
355 9 19 19
358 9 19 19
359 9 19 19
360 9 19 19
361 9 19 19
362 9 19 19
363 9 19 19
364 9 19 19
365 9 19 19
368 9 19 19
369 9 19 19
370 9 19 19
371 9 19 19
372 9 19 19
373 9 19 19
374 9 19 19
375 9 19 19
376 9 19 19
377 9 19 19
378 9 19 19
379 9 19 19
380 9 19 19
381 9 19 19
382 9 19 19
384 9 19 19
388 9 19 19
389 9 19 19
390 9 19 19
391 9 19 19
392 9 19 19
393 9 19 19
394 9 19 19
395 9 19 19
400 9 19 19
401 9 19 19
402 9 19 19
403 9 19 19
61 10 15 15
62 10 15 15
63 10 15 15
64 10 15 15
65 10 15 15
66 10 15 15
68 10 15 15
69 10 15 15
71 10 15 15
72 10 15 15
73 10 15 15
74 10 15 15
75 10 15 15
76 10 15 15
77 10 15 15
78 10 15 15
79 10 15 15
84 10 15 15
85 10 15 15
86 10 15 15
87 10 15 15
95 10 15 15
96 10 15 15
97 10 15 15
98 10 15 15
99 10 15 15
100 10 15 15
101 10 15 15
123 10 4 4
136 10 33 33
137 10 33 33
138 10 33 33
139 10 33 33
140 10 33 33
141 10 33 33
142 10 33 33
144 10 33 33
145 10 33 33
146 10 33 33
147 10 33 33
148 10 33 33
149 10 33 33
150 10 33 33
151 10 33 33
153 10 33 33
154 10 33 33
155 10 33 33
156 10 33 33
157 10 33 33
161 10 33 33
162 10 33 33
163 10 33 33
164 10 33 33
165 10 33 33
166 10 33 33
169 10 33 33
170 10 33 33
171 10 33 33
172 10 33 33
176 10 33 33
177 10 33 33
178 10 33 33
179 10 33 33
180 10 33 33
181 10 33 33
182 10 33 33
183 10 33 33
184 10 33 33
185 10 33 33
186 10 33 33
187 10 33 33
188 10 33 33
189 10 33 33
190 10 33 33
191 10 33 33
192 10 33 33
193 10 33 33
194 10 33 33
195 10 33 33
196 10 33 33
197 10 33 33
198 10 33 33
199 10 33 33
200 10 33 33
201 10 33 33
202 10 33 33
203 10 33 33
204 10 33 33
205 10 33 33
206 10 47 47
207 10 47 47
208 10 47 47
209 10 47 47
210 10 33 33
211 10 33 33
212 10 33 33
213 10 33 33
214 10 47 47
215 10 47 47
216 10 33 33
217 10 33 33
218 10 33 33
219 10 33 33
220 10 33 33
221 10 33 33
222 10 33 33
223 10 33 33
224 10 33 33
225 10 33 33
226 10 33 33
227 10 33 33
228 10 33 33
229 10 33 33
230 10 33 33
231 10 47 47
232 10 47 47
233 10 33 33
234 10 33 33
235 10 33 33
236 10 33 33
237 10 33 33
238 10 33 33
239 10 33 33
240 10 33 33
241 10 33 33
242 10 33 33
243 10 33 33
244 10 33 33
245 10 33 33
246 10 33 33
247 10 33 33
249 10 33 33
250 10 33 33
251 10 33 33
252 10 33 33
253 10 33 33
254 10 33 33
255 10 33 33
256 10 33 33
257 10 33 33
258 10 33 33
259 10 33 33
260 10 33 33
261 10 47 47
262 10 47 47
263 10 47 47
264 10 33 33
