282 321 481
187 6 53 53
187 7 53 53
59 13 29 29
60 13 29 29
283 13 92 92
284 13 92 92
284 14 92 92
113 17 98 98
6 18 76 76
113 18 98 98
5 19 76 76
6 19 76 76
6 20 76 76
313 20 67 67
6 21 76 76
313 21 67 67
177 26 4 4
178 26 4 4
308 34 14 14
309 34 14 14
308 35 14 14
296 36 45 45
297 36 45 45
224 38 39 39
164 39 78 78
165 39 78 78
224 39 39 39
268 43 12 12
269 43 12 12
13 47 51 51
14 47 51 51
65 48 49 49
66 48 49 49
201 52 18 18
202 52 18 18
203 52 18 18
204 52 18 18
38 63 47 47
156 63 6 6
157 63 6 6
38 64 47 47
157 64 6 6
281 72 89 89
282 72 89 89
282 73 89 89
253 77 56 56
254 77 56 56
141 78 19 19
141 79 19 19
204 85 93 93
205 85 93 93
281 90 28 28
282 90 28 28
1 93 73 73
2 93 73 73
78 97 34 34
79 97 34 34
178 97 11 11
179 97 11 11
112 98 44 44
113 98 44 44
113 99 44 44
281 104 65 65
282 104 65 65
282 105 65 65
298 111 68 68
299 111 68 68
240 117 41 41
241 117 41 41
209 118 10 10
170 119 20 20
171 119 20 20
209 119 10 10
85 122 69 69
86 122 69 69
123 122 24 24
123 123 24 24
18 127 96 96
18 128 96 96
132 130 36 36
133 130 36 36
30 146 9 9
30 147 9 9
273 147 94 94
274 147 94 94
131 156 13 13
131 157 13 13
160 164 35 35
161 164 35 35
212 172 46 46
213 172 46 46
131 181 33 33
130 182 33 33
131 182 33 33
210 195 64 64
211 195 64 64
168 196 54 54
169 196 54 54
169 197 54 54
170 197 54 54
74 200 38 38
74 201 38 38
55 202 80 80
56 202 80 80
259 204 43 43
224 205 90 90
259 205 43 43
224 206 90 90
246 213 66 66
247 213 66 66
248 213 66 66
249 213 66 66
250 213 66 66
114 220 3 3
115 220 3 3
116 220 3 3
49 232 2 2
49 233 2 2
284 239 75 75
284 240 75 75
34 247 85 85
35 247 85 85
35 248 85 85
206 248 82 82
206 249 82 82
207 249 82 82
204 259 21 21
204 260 21 21
302 260 63 63
303 260 63 63
204 261 21 21
205 261 21 21
58 262 42 42
59 262 42 42
59 263 42 42
69 273 61 61
68 274 61 61
69 274 61 61
70 274 61 61
283 276 17 17
284 276 17 17
17 279 57 57
18 279 57 57
240 287 77 77
200 288 72 72
240 288 77 77
199 289 72 72
200 289 72 72
216 291 5 5
217 291 5 5
157 295 31 31
101 296 95 95
102 296 95 95
157 296 31 31
225 297 50 50
225 298 50 50
299 306 23 23
86 307 27 27
87 307 27 27
298 307 23 23
299 307 23 23
262 308 86 86
263 308 86 86
263 309 86 86
12 313 84 84
11 314 84 84
12 314 84 84
13 314 84 84
14 314 84 84
12 315 84 84
16 333 22 22
58 333 87 87
59 333 87 87
14 334 22 22
15 334 22 22
16 334 22 22
17 334 22 22
58 334 87 87
59 334 87 87
224 334 7 7
225 334 7 7
59 335 87 87
157 338 55 55
158 338 55 55
84 348 37 37
84 349 37 37
84 350 37 37
255 350 60 60
256 350 60 60
83 351 37 37
84 351 37 37
84 352 37 37
46 354 52 52
47 354 52 52
48 354 52 52
47 355 52 52
48 355 52 52
49 355 52 52
50 355 52 52
51 355 52 52
74 368 83 83
75 368 83 83
76 368 83 83
115 371 70 70
115 372 70 70
309 376 1 1
280 377 99 99
309 377 1 1
310 377 1 1
280 378 99 99
281 378 99 99
13 380 32 32
12 381 32 32
13 381 32 32
147 386 59 59
148 386 59 59
147 387 59 59
18 390 74 74
18 391 74 74
279 394 0 0
280 394 0 0
280 395 0 0
244 396 25 25
245 396 25 25
56 410 58 58
56 411 58 58
57 411 58 58
58 411 58 58
272 413 48 48
273 413 48 48
80 417 88 88
81 417 88 88
288 418 79 79
289 418 79 79
289 419 79 79
221 420 91 91
220 421 91 91
221 421 91 91
220 422 91 91
319 427 16 16
170 428 81 81
171 428 81 81
319 428 16 16
320 428 16 16
169 429 81 81
170 429 81 81
208 441 30 30
209 441 30 30
210 441 30 30
211 441 30 30
208 442 30 30
211 442 30 30
212 442 30 30
213 442 30 30
260 442 26 26
262 442 26 26
212 443 30 30
213 443 30 30
214 443 30 30
260 443 26 26
261 443 26 26
262 443 26 26
211 444 30 30
212 444 30 30
259 444 26 26
260 444 26 26
261 444 26 26
261 445 26 26
261 446 26 26
313 454 8 8
313 455 8 8
190 458 15 15
190 459 15 15
257 461 62 62
258 461 62 62
132 466 97 97
133 466 97 97
8 467 40 40
7 468 40 40
8 468 40 40
36 477 71 71
37 477 71 71
