483 321 481
51 1 3 3
55 1 3 3
50 2 3 3
51 2 3 3
52 2 3 3
53 2 3 3
54 2 3 3
55 2 3 3
50 3 3 3
51 3 3 3
52 3 3 3
48 4 3 3
49 4 3 3
50 4 3 3
51 4 3 3
52 4 3 3
52 5 3 3
53 5 3 3
54 5 3 3
55 5 3 3
167 5 43 43
55 6 3 3
56 6 3 3
167 6 43 43
168 6 43 43
169 6 43 43
170 6 43 43
170 7 43 43
173 7 43 43
174 7 43 43
169 8 43 43
170 8 43 43
173 8 43 43
174 8 43 43
175 8 43 43
169 9 43 43
171 9 43 43
172 9 43 43
173 9 43 43
169 10 43 43
170 10 43 43
171 10 43 43
172 10 43 43
169 11 43 43
170 11 43 43
171 11 43 43
172 11 43 43
173 11 43 43
174 11 43 43
175 11 43 43
169 12 43 43
174 12 43 43
175 12 43 43
169 13 43 43
170 13 43 43
171 13 43 43
210 18 20 20
211 18 20 20
212 18 20 20
213 18 20 20
214 18 20 20
215 18 20 20
216 18 20 20
213 19 20 20
213 20 20 20
219 20 20 20
212 21 20 20
213 21 20 20
214 21 20 20
215 21 20 20
216 21 20 20
217 21 20 20
218 21 20 20
219 21 20 20
220 21 20 20
213 22 20 20
214 22 20 20
215 22 20 20
218 22 20 20
219 22 20 20
214 23 20 20
219 23 20 20
220 23 20 20
92 24 21 21
89 25 21 21
91 25 21 21
92 25 21 21
89 26 21 21
92 26 21 21
89 27 21 21
90 27 21 21
91 27 21 21
92 27 21 21
168 27 44 44
169 27 44 44
170 27 44 44
171 27 44 44
172 27 44 44
173 27 44 44
88 28 21 21
89 28 21 21
168 28 44 44
169 28 44 44
170 28 44 44
172 28 44 44
173 28 44 44
174 28 44 44
10 29 2 2
88 29 21 21
167 29 44 44
168 29 44 44
169 29 44 44
173 29 44 44
9 30 2 2
10 30 2 2
88 30 21 21
168 30 44 44
169 30 44 44
170 30 44 44
10 31 2 2
11 31 2 2
12 31 2 2
12 32 2 2
235 48 18 18
235 49 18 18
236 49 18 18
237 49 18 18
236 50 18 18
