2480 321 481
12 0 151 151
13 0 151 151
63 0 191 191
64 0 191 191
65 0 191 191
66 0 191 191
67 0 191 191
68 0 191 191
69 0 191 191
70 0 191 191
71 0 191 191
72 0 191 191
73 0 191 191
74 0 191 191
75 0 191 191
76 0 191 191
77 0 191 191
78 0 191 191
79 0 191 191
80 0 191 191
81 0 191 191
82 0 191 191
83 0 191 191
84 0 191 191
85 0 191 191
86 0 191 191
87 0 191 191
88 0 191 191
89 0 191 191
90 0 191 191
91 0 191 191
92 0 191 191
93 0 191 191
94 0 191 191
95 0 191 191
123 0 166 166
149 0 95 95
150 0 95 95
152 0 95 95
154 0 95 95
170 0 124 124
179 0 176 176
182 0 176 176
13 1 151 151
63 1 191 191
64 1 191 191
65 1 191 191
66 1 191 191
67 1 191 191
68 1 191 191
69 1 191 191
70 1 191 191
71 1 191 191
72 1 191 191
73 1 191 191
74 1 191 191
75 1 191 191
76 1 191 191
77 1 191 191
78 1 191 191
79 1 191 191
80 1 191 191
81 1 191 191
82 1 191 191
83 1 191 191
84 1 191 191
85 1 191 191
86 1 191 191
87 1 191 191
88 1 191 191
89 1 191 191
90 1 191 191
91 1 191 191
92 1 191 191
93 1 191 191
94 1 191 191
95 1 191 191
123 1 166 166
150 1 95 95
151 1 95 95
152 1 95 95
153 1 95 95
154 1 95 95
170 1 124 124
179 1 176 176
181 1 176 176
182 1 176 176
13 2 151 151
40 2 191 191
41 2 191 191
42 2 191 191
63 2 191 191
64 2 191 191
65 2 191 191
66 2 191 191
67 2 191 191
68 2 191 191
69 2 191 191
70 2 191 191
71 2 191 191
72 2 191 191
73 2 191 191
74 2 191 191
75 2 191 191
76 2 191 191
77 2 191 191
78 2 191 191
79 2 191 191
80 2 191 191
81 2 191 191
82 2 191 191
83 2 191 191
84 2 191 191
85 2 191 191
86 2 191 191
87 2 191 191
88 2 191 191
89 2 191 191
90 2 191 191
91 2 191 191
92 2 191 191
93 2 191 191
94 2 191 191
95 2 191 191
148 2 95 95
149 2 95 95
150 2 95 95
151 2 95 95
153 2 95 95
154 2 95 95
179 2 176 176
180 2 176 176
181 2 176 176
182 2 176 176
12 3 151 151
13 3 151 151
42 3 191 191
43 3 191 191
44 3 191 191
63 3 191 191
64 3 191 191
65 3 191 191
66 3 191 191
67 3 191 191
68 3 191 191
69 3 191 191
70 3 191 191
71 3 191 191
72 3 191 191
73 3 191 191
74 3 191 191
75 3 191 191
76 3 191 191
77 3 191 191
78 3 191 191
79 3 191 191
80 3 191 191
81 3 191 191
82 3 191 191
83 3 191 191
84 3 191 191
85 3 191 191
86 3 191 191
87 3 191 191
88 3 191 191
89 3 191 191
90 3 191 191
91 3 191 191
92 3 191 191
93 3 191 191
94 3 191 191
95 3 191 191
96 3 191 191
149 3 95 95
151 3 95 95
152 3 95 95
153 3 95 95
179 3 176 176
182 3 176 176
183 3 176 176
43 4 191 191
44 4 191 191
64 4 191 191
65 4 191 191
66 4 191 191
67 4 191 191
68 4 191 191
69 4 191 191
70 4 191 191
71 4 191 191
72 4 191 191
73 4 191 191
74 4 191 191
75 4 191 191
76 4 191 191
77 4 191 191
78 4 191 191
79 4 191 191
80 4 191 191
81 4 191 191
82 4 191 191
83 4 191 191
84 4 191 191
85 4 191 191
86 4 191 191
87 4 191 191
88 4 191 191
89 4 191 191
90 4 191 191
91 4 191 191
92 4 191 191
93 4 191 191
94 4 191 191
95 4 191 191
96 4 191 191
149 4 95 95
179 4 176 176
180 4 176 176
181 4 176 176
19 5 7 7
44 5 191 191
45 5 191 191
46 5 191 191
64 5 191 191
65 5 191 191
