108 321 481
69 10 1 1
70 10 1 1
71 10 1 1
68 11 1 1
69 11 1 1
70 11 1 1
68 12 1 1
69 12 1 1
70 12 1 1
71 12 1 1
64 13 1 1
65 13 1 1
66 13 1 1
67 13 1 1
68 13 1 1
69 13 1 1
70 13 1 1
71 13 1 1
64 14 1 1
71 14 1 1
72 14 1 1
64 15 1 1
71 15 1 1
72 15 1 1
72 16 1 1
203 43 6 6
191 44 6 6
192 44 6 6
193 44 6 6
194 44 6 6
195 44 6 6
196 44 6 6
200 44 6 6
202 44 6 6
203 44 6 6
206 44 6 6
207 44 6 6
191 45 6 6
193 45 6 6
194 45 6 6
195 45 6 6
196 45 6 6
197 45 6 6
200 45 6 6
201 45 6 6
203 45 6 6
206 45 6 6
207 45 6 6
208 45 6 6
209 45 6 6
191 46 6 6
195 46 6 6
196 46 6 6
197 46 6 6
198 46 6 6
199 46 6 6
200 46 6 6
201 46 6 6
202 46 6 6
203 46 6 6
204 46 6 6
205 46 6 6
206 46 6 6
207 46 6 6
208 46 6 6
198 47 6 6
199 47 6 6
200 47 6 6
203 47 6 6
206 47 6 6
207 47 6 6
26 120 8 8
25 121 8 8
26 121 8 8
27 121 8 8
25 122 8 8
25 123 8 8
26 123 8 8
302 149 2 2
301 150 2 2
302 150 2 2
303 150 2 2
189 192 5 5
189 193 5 5
188 194 5 5
189 194 5 5
190 194 5 5
138 195 0 0
137 196 0 0
138 196 0 0
139 196 0 0
287 227 9 9
285 228 9 9
286 228 9 9
287 228 9 9
288 228 9 9
289 228 9 9
285 229 9 9
28 307 4 4
28 308 4 4
99 351 3 3
99 352 3 3
99 353 3 3
100 353 3 3
232 412 7 7
232 413 7 7
232 414 7 7
233 414 7 7
