658 481 321
274 3 29 29
274 4 29 29
275 4 29 29
276 4 29 29
277 4 29 29
144 18 49 49
145 18 49 49
146 18 49 49
147 18 49 49
148 18 49 49
26 19 16 16
147 19 49 49
148 19 49 49
149 19 49 49
150 19 49 49
24 20 16 16
25 20 16 16
26 20 16 16
27 20 16 16
28 20 16 16
146 20 49 49
147 20 49 49
148 20 49 49
149 20 49 49
150 20 49 49
151 20 49 49
24 21 16 16
26 21 16 16
146 21 49 49
147 21 49 49
148 21 49 49
149 21 49 49
150 21 49 49
151 21 49 49
146 22 49 49
147 22 49 49
148 22 49 49
150 22 49 49
151 22 49 49
152 22 49 49
147 23 49 49
147 24 49 49
151 24 49 49
147 25 49 49
148 25 49 49
149 25 49 49
150 25 49 49
151 25 49 49
152 25 49 49
145 26 49 49
146 26 49 49
147 26 49 49
148 26 49 49
149 26 49 49
150 26 49 49
146 27 49 49
147 27 49 49
148 27 49 49
148 28 49 49
148 29 49 49
147 30 49 49
148 30 49 49
149 30 49 49
146 31 49 49
147 31 49 49
146 32 49 49
209 34 11 11
210 34 11 11
208 35 11 11
209 35 11 11
210 35 11 11
209 36 11 11
210 36 11 11
208 37 11 11
209 37 11 11
208 38 11 11
9 48 36 36
10 48 36 36
9 49 36 36
11 49 36 36
13 49 36 36
14 49 36 36
15 49 36 36
16 49 36 36
9 50 36 36
10 50 36 36
11 50 36 36
12 50 36 36
13 50 36 36
14 50 36 36
9 51 36 36
13 51 36 36
14 51 36 36
15 51 36 36
9 52 36 36
13 52 36 36
15 52 36 36
207 75 25 25
208 75 25 25
208 76 25 25
208 77 25 25
209 77 25 25
209 78 25 25
299 88 26 26
298 89 26 26
299 89 26 26
334 90 21 21
333 91 21 21
334 91 21 21
47 96 10 10
269 96 45 45
270 96 45 45
271 96 45 45
47 97 10 10
47 98 10 10
46 99 10 10
47 99 10 10
47 100 10 10
48 100 10 10
92 103 17 17
90 104 17 17
91 104 17 17
92 104 17 17
0 105 32 32
89 105 17 17
90 105 17 17
91 105 17 17
92 105 17 17
0 106 32 32
88 106 17 17
89 106 17 17
92 106 17 17
0 107 32 32
1 107 32 32
88 107 17 17
89 107 17 17
1 108 32 32
12 108 3 3
88 108 17 17
89 108 17 17
0 109 32 32
1 109 32 32
